,avg/proj_manifold_dist,avg/proj_true_dist,avg/pred_recall,avg/pred_precision,avg/pred_manifold_dist
avg/proj_manifold_dist,1.0,0.7172560442419418,0.5550848928389306,-0.6465184039671195,0.8311658562312636
avg/proj_true_dist,0.7172560442419418,1.0,0.8371082267029937,-0.9009608505299131,0.841350406267484
avg/pred_recall,0.5550848928389306,0.8371082267029937,1.0,-0.963858873215205,0.7695999033654845
avg/pred_precision,-0.6465184039671195,-0.9009608505299131,-0.963858873215205,1.0,-0.8471062930532006
avg/pred_manifold_dist,0.8311658562312636,0.841350406267484,0.7695999033654845,-0.8471062930532006,1.0
