,looped_spiro,noise_only,sparse_only,figure_eight,ellipse
looped_spiro,1.0,0.7178801449054262,0.6369455903292957,0.6821595020920261,0.46502175162715137
noise_only,0.7178801449054262,1.0,0.7146209533796242,0.5640078877133092,0.334622250353934
sparse_only,0.6369455903292957,0.7146209533796242,1.0,0.5942398353699361,0.37057718515609156
figure_eight,0.6821595020920261,0.5640078877133092,0.5942398353699361,1.0,0.38727244040299763
ellipse,0.46502175162715137,0.334622250353934,0.37057718515609156,0.38727244040299763,1.0
