,mean,std
looped_spiro,0.2917783561470509,0.23642540501706916
noise_only,0.6047371689037058,0.2572708210167263
sparse_only,0.40230252238293024,0.2855762584497012
figure_eight,0.1575008566862066,0.10510049615675367
ellipse,0.11288905386311904,0.16312200533004306
