,looped_spiro,noise_only,sparse_only,figure_eight,ellipse
looped_spiro,0.05589697213748515,0.04360403482375338,0.043004962791332084,0.016966711625249008,0.017951837523557175
noise_only,0.04360403482375338,0.0661882753466204,0.052429828797339595,0.015250373365804485,0.014042935456747714
sparse_only,0.043004962791332084,0.052429828797339595,0.08155379939013041,0.017852599602806288,0.017279941861931946
figure_eight,0.016966711625249008,0.015250373365804485,0.017852599602806288,0.011046114292395793,0.00663947760344686
ellipse,0.017951837523557175,0.014042935456747714,0.017279941861931946,0.00663947760344686,0.026608788622894595
