[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.050668 | on=0.008660 | off=0.014003
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.063045 | on=0.006744 | off=0.018767
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.043815 | on=0.007943 | off=0.011957
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.031961 | on=0.005615 | off=0.008782
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.037088 | on=0.005704 | off=0.010461
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.027256 | on=0.005043 | off=0.007404
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.022084 | on=0.004537 | off=0.005849
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.023283 | on=0.004204 | off=0.006360
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.020486 | on=0.004227 | off=0.005419
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.015004 | on=0.003511 | off=0.003831
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.015986 | on=0.003388 | off=0.004199
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.021536 | on=0.002995 | off=0.006180
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.012435 | on=0.002539 | off=0.003299
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.012110 | on=0.002003 | off=0.003369
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.014524 | on=0.002080 | off=0.004148
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.011170 | on=0.002619 | off=0.002850
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.014237 | on=0.001924 | off=0.004104
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.011803 | on=0.001528 | off=0.003425
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.012062 | on=0.001570 | off=0.003497
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.011218 | on=0.001803 | off=0.003138
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.008812 | on=0.001715 | off=0.002366
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.013267 | on=0.001298 | off=0.003990
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.008237 | on=0.001383 | off=0.002285
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.012081 | on=0.001601 | off=0.003493
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.012105 | on=0.001559 | off=0.003515
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.009319 | on=0.001456 | off=0.002621
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.008126 | on=0.001302 | off=0.002275
[eval] 2d_figure_eight | proj_dist=0.036864 | pred_recall=0.795380 | pred_FPrate=0.131558 | chamfer=0.075101 | gt->learned=0.037590 | learned->gt=0.037511 | space=data_space
/home/baiyu/PycharmProjects/equality_manofld/methods/baseline_udf/plots.py:482: UserWarning: No artists with labels found to put in legend.  Note that artists whose label start with an underscore are ignored when legend() is called with no argument.
  plt.legend()
[done] method=delta dataset=2d_figure_eight seed=173 proj_dist=0.036864 recall=0.795380 FPrate=0.131558
[run] method=delta dataset=2d_looped_spiro seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.153200 | on=0.007764 | off=0.048479
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.145083 | on=0.036696 | off=0.036129
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.140613 | on=0.031131 | off=0.036494
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.147558 | on=0.027875 | off=0.039894
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.135061 | on=0.029765 | off=0.035099
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.132181 | on=0.037174 | off=0.031669
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.149144 | on=0.032635 | off=0.038837
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.144274 | on=0.027150 | off=0.039041
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.124678 | on=0.028663 | off=0.032005
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.095623 | on=0.025165 | off=0.023486
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.084754 | on=0.027361 | off=0.019131
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.085174 | on=0.027914 | off=0.019087
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.118863 | on=0.018949 | off=0.033305
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.088648 | on=0.023905 | off=0.021581
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.095569 | on=0.020936 | off=0.024878
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.080411 | on=0.019987 | off=0.020141
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.073081 | on=0.016695 | off=0.018795
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.072228 | on=0.017283 | off=0.018315
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.068996 | on=0.016276 | off=0.017573
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.064792 | on=0.022095 | off=0.014232
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.067693 | on=0.019025 | off=0.016222
