[run] method=delta dataset=6d_spatial_arm_up_n6 seed=173
[data][ur5] tries=3140, accepted=1665/2048
[data][ur5] tries=3160, accepted=1676/2048
[data][ur5] tries=3200, accepted=1698/2048
[data][ur5] tries=3220, accepted=1711/2048
[data][ur5] tries=3240, accepted=1719/2048
[data][ur5] tries=3260, accepted=1728/2048
[data][ur5] tries=3280, accepted=1737/2048
[data][ur5] tries=3320, accepted=1760/2048
[data][ur5] tries=3340, accepted=1775/2048
[data][ur5] tries=3360, accepted=1787/2048
[data][ur5] tries=3380, accepted=1803/2048
[data][ur5] tries=3420, accepted=1823/2048
[data][ur5] tries=3440, accepted=1834/2048
[data][ur5] tries=3460, accepted=1846/2048
[data][ur5] tries=3480, accepted=1854/2048
[data][ur5] tries=3520, accepted=1875/2048
[data][ur5] tries=3540, accepted=1889/2048
[data][ur5] tries=3560, accepted=1901/2048
[data][ur5] tries=3580, accepted=1913/2048
[data][ur5] tries=3600, accepted=1924/2048
[data][ur5] tries=3620, accepted=1933/2048
[data][ur5] tries=3640, accepted=1945/2048
[data][ur5] tries=3660, accepted=1953/2048
[data][ur5] tries=3700, accepted=1974/2048
[data][ur5] tries=3720, accepted=1984/2048
[data][ur5] tries=3740, accepted=1995/2048
[data][ur5] tries=3760, accepted=2004/2048
[data][ur5] tries=3780, accepted=2014/2048
[data][ur5] tries=3800, accepted=2024/2048
[data][ur5] tries=3820, accepted=2035/2048
[data][ur5] target=1, max_tries=300, mode=solve(q5,q6|q1..q4)
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.106228 | on=0.024590 | off=0.081638
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.090452 | on=0.020380 | off=0.070072
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.109192 | on=0.025802 | off=0.083390
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.120284 | on=0.023866 | off=0.096418
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.110542 | on=0.024026 | off=0.086516
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.137433 | on=0.026647 | off=0.110785
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.097505 | on=0.024244 | off=0.073260
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.059344 | on=0.016101 | off=0.043243
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.074372 | on=0.013355 | off=0.061017
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.058138 | on=0.012194 | off=0.045943
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.050204 | on=0.013525 | off=0.036680
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.040808 | on=0.006825 | off=0.033983
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.043957 | on=0.008489 | off=0.035468
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.045137 | on=0.004358 | off=0.040779
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.026306 | on=0.006541 | off=0.019765
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.028234 | on=0.005659 | off=0.022575
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.035153 | on=0.005361 | off=0.029792
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.034302 | on=0.007091 | off=0.027211
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.029991 | on=0.003858 | off=0.026133
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.027632 | on=0.007071 | off=0.020562
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.027492 | on=0.002975 | off=0.024516
