[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep=1200/3000 | lr=1.00e-04 | f1=0.1328 | |grad f1|=0.6530 | ortho=0.00000
[train] method=eikonal ep=1250/3000 | lr=1.00e-04 | f1=0.1313 | |grad f1|=0.6503 | ortho=0.00000
[train] method=eikonal ep=1300/3000 | lr=1.00e-04 | f1=0.1323 | |grad f1|=0.6517 | ortho=0.00000
[train] method=eikonal ep=1350/3000 | lr=1.00e-04 | f1=0.1323 | |grad f1|=0.6533 | ortho=0.00000
[train] method=eikonal ep=1400/3000 | lr=1.00e-04 | f1=0.1343 | |grad f1|=0.6544 | ortho=0.00000
[train] method=eikonal ep=1450/3000 | lr=1.00e-04 | f1=0.1327 | |grad f1|=0.6555 | ortho=0.00000
[train] method=eikonal ep=1500/3000 | lr=1.00e-04 | f1=0.1335 | |grad f1|=0.6531 | ortho=0.00000
[train] method=eikonal ep=1550/3000 | lr=1.00e-04 | f1=0.1331 | |grad f1|=0.6557 | ortho=0.00000
[train] method=eikonal ep=1600/3000 | lr=1.00e-04 | f1=0.1338 | |grad f1|=0.6556 | ortho=0.00000
[train] method=eikonal ep=1650/3000 | lr=1.00e-04 | f1=0.1329 | |grad f1|=0.6511 | ortho=0.00000
[train] method=eikonal ep=1700/3000 | lr=1.00e-04 | f1=0.1333 | |grad f1|=0.6563 | ortho=0.00000
[train] method=eikonal ep=1750/3000 | lr=1.00e-04 | f1=0.1334 | |grad f1|=0.6539 | ortho=0.00000
[train] method=eikonal ep=1800/3000 | lr=1.00e-04 | f1=0.1337 | |grad f1|=0.6572 | ortho=0.00000
[train] method=eikonal ep=1850/3000 | lr=1.00e-04 | f1=0.1326 | |grad f1|=0.6536 | ortho=0.00000
[train] method=eikonal ep=1900/3000 | lr=1.00e-04 | f1=0.1330 | |grad f1|=0.6538 | ortho=0.00000
[train] method=eikonal ep=1950/3000 | lr=1.00e-04 | f1=0.1330 | |grad f1|=0.6557 | ortho=0.00000
[train] method=eikonal ep=2000/3000 | lr=1.00e-04 | f1=0.1337 | |grad f1|=0.6541 | ortho=0.00000
[train] method=eikonal ep=2050/3000 | lr=5.00e-05 | f1=0.1331 | |grad f1|=0.6528 | ortho=0.00000
[train] method=eikonal ep=2100/3000 | lr=5.00e-05 | f1=0.1336 | |grad f1|=0.6547 | ortho=0.00000
[train] method=eikonal ep=2150/3000 | lr=5.00e-05 | f1=0.1331 | |grad f1|=0.6516 | ortho=0.00000
[train] method=eikonal ep=2200/3000 | lr=5.00e-05 | f1=0.1323 | |grad f1|=0.6521 | ortho=0.00000
[train] method=eikonal ep=2250/3000 | lr=5.00e-05 | f1=0.1339 | |grad f1|=0.6548 | ortho=0.00000
[train] method=eikonal ep=2300/3000 | lr=5.00e-05 | f1=0.1341 | |grad f1|=0.6564 | ortho=0.00000
[train] method=eikonal ep=2350/3000 | lr=5.00e-05 | f1=0.1350 | |grad f1|=0.6576 | ortho=0.00000
[train] method=eikonal ep=2400/3000 | lr=5.00e-05 | f1=0.1342 | |grad f1|=0.6569 | ortho=0.00000
[train] method=eikonal ep=2450/3000 | lr=5.00e-05 | f1=0.1335 | |grad f1|=0.6536 | ortho=0.00000
[train] method=eikonal ep=2500/3000 | lr=5.00e-05 | f1=0.1337 | |grad f1|=0.6578 | ortho=0.00000
[train] method=eikonal ep=2550/3000 | lr=5.00e-05 | f1=0.1336 | |grad f1|=0.6540 | ortho=0.00000
