method,mean_over_datasets,std_over_datasets,n_datasets
delta,0.29731452359070193,0.26877337156993725,11
eikonal,0.4177027413897896,0.32130730018559284,11
vae,0.01160397753056893,0.011360607289935267,11
ecomann,0.8153289062876801,0.18162442720510652,11
