method,mean_over_datasets,std_over_datasets,n_datasets
delta,0.22547427672967651,0.16963496198308578,11
eikonal,0.08486556866827724,0.07032987283520946,11
vae,0.34304989834315663,0.2045025612994429,11
ecomann,0.7173358551342571,0.14042799891233876,11
