[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep= 800/1000 | lr=3.00e-04 | loss=0.000037 | on=0.000003 | off=0.000113
[train] method=delta ep= 850/1000 | lr=3.00e-04 | loss=0.000047 | on=0.000002 | off=0.000150
[train] method=delta ep= 900/1000 | lr=3.00e-04 | loss=0.000040 | on=0.000005 | off=0.000116
[train] method=delta ep= 950/1000 | lr=3.00e-04 | loss=0.000069 | on=0.000012 | off=0.000190
[train] method=delta ep=1000/1000 | lr=3.00e-04 | loss=0.000025 | on=0.000004 | off=0.000071
[eval] 3d_saddle_surface | proj_dist=0.111321 | pred_recall=0.206186 | pred_FPrate=0.002050 | chamfer=0.170131 | gt->learned=0.030631 | learned->gt=0.139500 | space=data_space
[done] method=delta dataset=3d_saddle_surface seed=173 proj_dist=0.111321 recall=0.206186 FPrate=0.002050
[run] method=delta dataset=3d_spatial_arm_circle_n3 seed=173
[train] method=delta ep=   1/1000 | lr=3.00e-04 | loss=0.034052 | on=0.002373 | off=0.105598
[train] method=delta ep=  50/1000 | lr=3.00e-04 | loss=0.011519 | on=0.000027 | off=0.038306
[train] method=delta ep= 100/1000 | lr=3.00e-04 | loss=0.010475 | on=0.000033 | off=0.034805
[train] method=delta ep= 150/1000 | lr=3.00e-04 | loss=0.012613 | on=0.000182 | off=0.041434
[train] method=delta ep= 200/1000 | lr=3.00e-04 | loss=0.010317 | on=0.000111 | off=0.034021
[train] method=delta ep= 250/1000 | lr=3.00e-04 | loss=0.008292 | on=0.000049 | off=0.027479
[train] method=delta ep= 300/1000 | lr=3.00e-04 | loss=0.006121 | on=0.000056 | off=0.020216
[train] method=delta ep= 350/1000 | lr=3.00e-04 | loss=0.010877 | on=0.000044 | off=0.036107
[train] method=delta ep= 400/1000 | lr=3.00e-04 | loss=0.008852 | on=0.000291 | off=0.028534
[train] method=delta ep= 450/1000 | lr=3.00e-04 | loss=0.006635 | on=0.000183 | off=0.021507
[train] method=delta ep= 500/1000 | lr=3.00e-04 | loss=0.006789 | on=0.000144 | off=0.022151
[train] method=delta ep= 550/1000 | lr=3.00e-04 | loss=0.008829 | on=0.000060 | off=0.029231
[train] method=delta ep= 600/1000 | lr=3.00e-04 | loss=0.007431 | on=0.000027 | off=0.024680
[train] method=delta ep= 650/1000 | lr=3.00e-04 | loss=0.005542 | on=0.000027 | off=0.018384
[train] method=delta ep= 700/1000 | lr=3.00e-04 | loss=0.007128 | on=0.000002 | off=0.023752
[train] method=delta ep= 750/1000 | lr=3.00e-04 | loss=0.010944 | on=0.000147 | off=0.035988
[train] method=delta ep= 800/1000 | lr=3.00e-04 | loss=0.010618 | on=0.000067 | off=0.035169
[train] method=delta ep= 850/1000 | lr=3.00e-04 | loss=0.010426 | on=0.000046 | off=0.034599
[train] method=delta ep= 900/1000 | lr=3.00e-04 | loss=0.009227 | on=0.000027 | off=0.030665
[train] method=delta ep= 950/1000 | lr=3.00e-04 | loss=0.010304 | on=0.000154 | off=0.033832
[train] method=delta ep=1000/1000 | lr=3.00e-04 | loss=0.006814 | on=0.000016 | off=0.022661
[eval] 3d_spatial_arm_circle_n3 | proj_dist=0.247499 | pred_recall=0.454545 | pred_FPrate=0.009302 | chamfer=0.269217 | gt->learned=0.021575 | learned->gt=0.247641 | space=workspace
[done] method=delta dataset=3d_spatial_arm_circle_n3 seed=173 proj_dist=0.247499 recall=0.454545 FPrate=0.009302
[run] method=delta dataset=3d_spiral seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.027972 | on=0.001337 | off=0.088783
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.018240 | on=0.003321 | off=0.049731
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.011656 | on=0.000359 | off=0.037657
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.007525 | on=0.000209 | off=0.024386
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.008941 | on=0.000066 | off=0.029581
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.009409 | on=0.000353 | off=0.030186
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.009584 | on=0.000059 | off=0.031750
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.004951 | on=0.000084 | off=0.016224
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.008198 | on=0.000077 | off=0.027068
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.011641 | on=0.000110 | off=0.038440
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.008221 | on=0.000082 | off=0.027129
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.007040 | on=0.000145 | off=0.022981
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.010851 | on=0.000114 | off=0.035789
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.006515 | on=0.000121 | off=0.021315
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.008916 | on=0.000062 | off=0.029514
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.007341 | on=0.000028 | off=0.024379
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.007385 | on=0.000033 | off=0.024507
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.011079 | on=0.000173 | off=0.036352
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.009557 | on=0.000116 | off=0.031472
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.005523 | on=0.000104 | off=0.018064
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.006751 | on=0.000120 | off=0.022101
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.005654 | on=0.000089 | off=0.018550
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.006702 | on=0.000057 | off=0.022150
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.007948 | on=0.000104 | off=0.026148
