method,n_cases,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_manifold_dist,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual
delta,70,0.1715649544527488,0.0381352755241096,0.0381352755241096,,,0.03422777010127902,0.07875438488221594,0.13733718443129744,0.44614306148141625,1024.0,4096.0,0.03331668914831647,0.1589615027553269,0.000390610021323872,0.3994991655415721,nan,0.12269030231317239,30.819576590401784,0.20969829460872072,0.023860914036881047
eikonal,70,0.1166028284800372,0.047465075246457544,0.047465075246457544,,,0.03224826766776719,0.07816417042964272,0.08435456098855607,0.32678147933578916,1024.0,4096.0,0.04297053668568862,nan,0.0009092931068445458,nan,nan,0.06309734162142766,20.463260323660716,0.15621963390814406,0.008723831346391568
vae,70,0.2322782200362001,0.1997577805072069,0.1997577805072069,0.23342497034796647,0.16755696996780378,0.06597605874495847,0.19522071093586937,0.16630216113158636,0.6489472605820213,1024.0,4096.0,0.11082184412548614,0.11961919016071729,0.016109685712893094,0.22745531273097627,nan,0.15410264594746487,1.0,0.5489163271018437,0.19706964758890017
