method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
ecomann,3d_spatial_arm_ellip_n3_traj,3,0.5161763429641724,0.4143657684326172,0.4143657684326172,0.15200085937976837,0.2562467157840729,0.3641754984855652,0.8821399807929993,8128.0,4096.0,0.1503428011753183,0.048837460577487946,0.0,0.8801673228346457,0.3641754984855652,37.926025390625,1.0928585529327393,0.25754106044769287,18.679048597987276
ecomann,3d_spatial_arm_ellip_n3_traj,4,0.4315681457519531,0.5348777770996094,0.5348777770996094,0.1678270548582077,0.2817232608795166,0.26374107599258423,0.6443608999252319,8128.0,4096.0,0.16181150550795595,0.09416394680738449,0.033447265625,0.8929625984251969,0.26374107599258423,93.456787109375,0.8172014951705933,0.21955165266990662,17.060860626981594
ecomann,3d_spatial_arm_ellip_n3_traj,5,0.5000370740890503,0.5024954080581665,0.5024954080581665,0.17015670239925385,0.30148643255233765,0.32988038659095764,0.6907404661178589,8128.0,4096.0,0.2297528749694152,0.07308299839496613,0.0,0.8043799212598425,0.32988038659095764,86.662109375,1.026120662689209,0.16673865914344788,19.211771132948343
ecomann,3d_spatial_arm_ellip_n3_traj,6,0.6998038291931152,0.6439589858055115,0.6439589858055115,0.29524505138397217,0.3453110456466675,0.40455877780914307,0.7471146583557129,8128.0,4096.0,0.37454100367197063,0.13814139366149902,0.0,0.9324557086614174,0.40455877780914307,4.37353515625,0.5937337875366211,0.018350932747125626,19.57167449098779
oncl,3d_torus_surface_traj,0,0.11408942937850952,0.010513130575418472,0.010513130575418472,0.06753835082054138,0.14616617560386658,0.04655108228325844,0.0877775177359581,8100.0,4096.0,0.0010955902492467817,1.963573413377162e-05,0.874755859375,0.534074074074074,0.04655108228325844,19.0,0.05071160942316055,0.000582045700866729,9.560830375994556
oncl,3d_torus_surface_traj,1,0.5710610151290894,0.015966832637786865,0.015966832637786865,0.31330496072769165,0.7858045697212219,0.2577560245990753,0.8767290711402893,8100.0,4096.0,0.013289937618660158,4.852934944210574e-05,0.3330078125,0.10592592592592592,0.2577560245990753,19.0029296875,0.4069024324417114,0.006529876962304115,9.108830787008628
oncl,3d_torus_surface_traj,2,0.19211438298225403,0.008317925035953522,0.008317925035953522,0.11665897071361542,0.3067719638347626,0.07545541226863861,0.22598238289356232,8100.0,4096.0,0.0027129679869777536,1.2935216545884032e-05,0.69482421875,0.23407407407407407,0.07545541226863861,19.0,0.09236687421798706,0.0005743055953644216,9.32074732996989
oncl,3d_torus_surface_traj,3,0.45966511964797974,0.01754053682088852,0.01754053682088852,0.2620277404785156,0.8095209002494812,0.1976373940706253,0.7620044946670532,8100.0,4096.0,0.010471204188481676,5.094247535453178e-05,0.50927734375,0.20407407407407407,0.1976373940706253,19.03955078125,0.3243946433067322,0.015836700797080994,8.915581679029856
oncl,3d_torus_surface_traj,4,0.2856583893299103,0.010337553918361664,0.010337553918361664,0.198454350233078,0.8665750026702881,0.08720403909683228,0.36418333649635315,8100.0,4096.0,0.0027785495971103086,2.2889393221703358e-05,0.7646484375,0.31222222222222223,0.08720403909683228,19.0,0.1289253532886505,0.00464547099545598,9.058171537995804
oncl,3d_torus_surface_traj,5,0.1415112018585205,0.013413183391094208,0.013413183391094208,0.09105205535888672,0.23656441271305084,0.050459153950214386,0.0931146889925003,8100.0,4096.0,0.003844041735310269,3.9385431591654196e-05,0.850830078125,0.4551851851851852,0.050459153950214386,19.0,0.06032629311084747,0.0006268301513046026,8.998867456975859
