[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep=1200/3000 | lr=1.00e-04 | f1=0.1322 | |grad f1|=0.6528 | ortho=0.00000
[train] method=eikonal ep=1250/3000 | lr=1.00e-04 | f1=0.1316 | |grad f1|=0.6526 | ortho=0.00000
[train] method=eikonal ep=1300/3000 | lr=1.00e-04 | f1=0.1324 | |grad f1|=0.6524 | ortho=0.00000
[train] method=eikonal ep=1350/3000 | lr=1.00e-04 | f1=0.1321 | |grad f1|=0.6518 | ortho=0.00000
[train] method=eikonal ep=1400/3000 | lr=1.00e-04 | f1=0.1336 | |grad f1|=0.6553 | ortho=0.00000
[train] method=eikonal ep=1450/3000 | lr=1.00e-04 | f1=0.1328 | |grad f1|=0.6550 | ortho=0.00000
[train] method=eikonal ep=1500/3000 | lr=1.00e-04 | f1=0.1326 | |grad f1|=0.6507 | ortho=0.00000
[train] method=eikonal ep=1550/3000 | lr=1.00e-04 | f1=0.1326 | |grad f1|=0.6543 | ortho=0.00000
[train] method=eikonal ep=1600/3000 | lr=1.00e-04 | f1=0.1326 | |grad f1|=0.6525 | ortho=0.00000
[train] method=eikonal ep=1650/3000 | lr=1.00e-04 | f1=0.1331 | |grad f1|=0.6529 | ortho=0.00000
[train] method=eikonal ep=1700/3000 | lr=1.00e-04 | f1=0.1328 | |grad f1|=0.6556 | ortho=0.00000
[train] method=eikonal ep=1750/3000 | lr=1.00e-04 | f1=0.1334 | |grad f1|=0.6533 | ortho=0.00000
[train] method=eikonal ep=1800/3000 | lr=1.00e-04 | f1=0.1323 | |grad f1|=0.6539 | ortho=0.00000
[train] method=eikonal ep=1850/3000 | lr=1.00e-04 | f1=0.1323 | |grad f1|=0.6528 | ortho=0.00000
[train] method=eikonal ep=1900/3000 | lr=1.00e-04 | f1=0.1323 | |grad f1|=0.6525 | ortho=0.00000
[train] method=eikonal ep=1950/3000 | lr=1.00e-04 | f1=0.1332 | |grad f1|=0.6546 | ortho=0.00000
[train] method=eikonal ep=2000/3000 | lr=1.00e-04 | f1=0.1319 | |grad f1|=0.6505 | ortho=0.00000
[train] method=eikonal ep=2050/3000 | lr=5.00e-05 | f1=0.1327 | |grad f1|=0.6522 | ortho=0.00000
[train] method=eikonal ep=2100/3000 | lr=5.00e-05 | f1=0.1324 | |grad f1|=0.6525 | ortho=0.00000
[train] method=eikonal ep=2150/3000 | lr=5.00e-05 | f1=0.1325 | |grad f1|=0.6514 | ortho=0.00000
[train] method=eikonal ep=2200/3000 | lr=5.00e-05 | f1=0.1323 | |grad f1|=0.6525 | ortho=0.00000
[train] method=eikonal ep=2250/3000 | lr=5.00e-05 | f1=0.1327 | |grad f1|=0.6524 | ortho=0.00000
[train] method=eikonal ep=2300/3000 | lr=5.00e-05 | f1=0.1329 | |grad f1|=0.6537 | ortho=0.00000
[train] method=eikonal ep=2350/3000 | lr=5.00e-05 | f1=0.1331 | |grad f1|=0.6546 | ortho=0.00000
[train] method=eikonal ep=2400/3000 | lr=5.00e-05 | f1=0.1331 | |grad f1|=0.6551 | ortho=0.00000
[train] method=eikonal ep=2450/3000 | lr=5.00e-05 | f1=0.1327 | |grad f1|=0.6528 | ortho=0.00000
[train] method=eikonal ep=2500/3000 | lr=5.00e-05 | f1=0.1331 | |grad f1|=0.6559 | ortho=0.00000
[train] method=eikonal ep=2550/3000 | lr=5.00e-05 | f1=0.1326 | |grad f1|=0.6528 | ortho=0.00000
[train] method=eikonal ep=2600/3000 | lr=5.00e-05 | f1=0.1320 | |grad f1|=0.6516 | ortho=0.00000
[train] method=eikonal ep=2650/3000 | lr=5.00e-05 | f1=0.1328 | |grad f1|=0.6529 | ortho=0.00000
[train] method=eikonal ep=2700/3000 | lr=5.00e-05 | f1=0.1331 | |grad f1|=0.6532 | ortho=0.00000
[train] method=eikonal ep=2750/3000 | lr=5.00e-05 | f1=0.1330 | |grad f1|=0.6528 | ortho=0.00000
[train] method=eikonal ep=2800/3000 | lr=5.00e-05 | f1=0.1324 | |grad f1|=0.6550 | ortho=0.00000
[train] method=eikonal ep=2850/3000 | lr=5.00e-05 | f1=0.1327 | |grad f1|=0.6537 | ortho=0.00000
[train] method=eikonal ep=2900/3000 | lr=5.00e-05 | f1=0.1331 | |grad f1|=0.6547 | ortho=0.00000
[train] method=eikonal ep=2950/3000 | lr=5.00e-05 | f1=0.1323 | |grad f1|=0.6527 | ortho=0.00000
[train] method=eikonal ep=3000/3000 | lr=5.00e-05 | f1=0.1324 | |grad f1|=0.6534 | ortho=0.00000
[eval] 2d_figure_eight | proj_dist=0.133364 | pred_recall=0.897690 | pred_FPrate=0.734247 | chamfer=0.225873 | gt->learned=0.092205 | learned->gt=0.133668 | space=data_space
[done] method=eikonal dataset=2d_figure_eight seed=173 proj_dist=0.133364 recall=0.897690 FPrate=0.734247
[run] method=eikonal dataset=2d_looped_spiro seed=173
[train] method=eikonal ep=   1/2000 | lr=2.00e-04 | f1=0.0666 | |grad f1|=0.0884 | ortho=0.00000
[train] method=eikonal ep=  50/2000 | lr=2.00e-04 | f1=0.1021 | |grad f1|=0.1480 | ortho=0.00000
[train] method=eikonal ep= 100/2000 | lr=2.00e-04 | f1=0.1021 | |grad f1|=0.1584 | ortho=0.00000
[train] method=eikonal ep= 150/2000 | lr=2.00e-04 | f1=0.0712 | |grad f1|=0.2032 | ortho=0.00000
[train] method=eikonal ep= 200/2000 | lr=2.00e-04 | f1=0.0940 | |grad f1|=0.4052 | ortho=0.00000
[train] method=eikonal ep= 250/2000 | lr=2.00e-04 | f1=0.1304 | |grad f1|=0.5528 | ortho=0.00000
[train] method=eikonal ep= 300/2000 | lr=2.00e-04 | f1=0.1357 | |grad f1|=0.5772 | ortho=0.00000
[train] method=eikonal ep= 350/2000 | lr=2.00e-04 | f1=0.1359 | |grad f1|=0.5765 | ortho=0.00000
[train] method=eikonal ep= 400/2000 | lr=2.00e-04 | f1=0.1351 | |grad f1|=0.5781 | ortho=0.00000
[train] method=eikonal ep= 450/2000 | lr=2.00e-04 | f1=0.1360 | |grad f1|=0.5818 | ortho=0.00000
[train] method=eikonal ep= 500/2000 | lr=2.00e-04 | f1=0.1358 | |grad f1|=0.5828 | ortho=0.00000
[train] method=eikonal ep= 550/2000 | lr=2.00e-04 | f1=0.1370 | |grad f1|=0.5873 | ortho=0.00000
[train] method=eikonal ep= 600/2000 | lr=2.00e-04 | f1=0.1366 | |grad f1|=0.5888 | ortho=0.00000
[train] method=eikonal ep= 650/2000 | lr=2.00e-04 | f1=0.1372 | |grad f1|=0.5936 | ortho=0.00000
[train] method=eikonal ep= 700/2000 | lr=2.00e-04 | f1=0.1374 | |grad f1|=0.5949 | ortho=0.00000
[train] method=eikonal ep= 750/2000 | lr=2.00e-04 | f1=0.1384 | |grad f1|=0.5970 | ortho=0.00000
[train] method=eikonal ep= 800/2000 | lr=2.00e-04 | f1=0.1385 | |grad f1|=0.6030 | ortho=0.00000
[train] method=eikonal ep= 850/2000 | lr=2.00e-04 | f1=0.1379 | |grad f1|=0.6081 | ortho=0.00000
[train] method=eikonal ep= 900/2000 | lr=2.00e-04 | f1=0.1394 | |grad f1|=0.6181 | ortho=0.00000
[train] method=eikonal ep= 950/2000 | lr=2.00e-04 | f1=0.1382 | |grad f1|=0.6263 | ortho=0.00000
[train] method=eikonal ep=1000/2000 | lr=2.00e-04 | f1=0.1374 | |grad f1|=0.6392 | ortho=0.00000
[train] method=eikonal ep=1050/2000 | lr=1.00e-04 | f1=0.1376 | |grad f1|=0.6478 | ortho=0.00000
[train] method=eikonal ep=1100/2000 | lr=1.00e-04 | f1=0.1360 | |grad f1|=0.6553 | ortho=0.00000
[train] method=eikonal ep=1150/2000 | lr=1.00e-04 | f1=0.1351 | |grad f1|=0.6673 | ortho=0.00000
[train] method=eikonal ep=1200/2000 | lr=1.00e-04 | f1=0.1328 | |grad f1|=0.6760 | ortho=0.00000
[train] method=eikonal ep=1250/2000 | lr=1.00e-04 | f1=0.1313 | |grad f1|=0.6890 | ortho=0.00000
[train] method=eikonal ep=1300/2000 | lr=1.00e-04 | f1=0.1280 | |grad f1|=0.6986 | ortho=0.00000
[train] method=eikonal ep=1350/2000 | lr=1.00e-04 | f1=0.1252 | |grad f1|=0.7113 | ortho=0.00000
[train] method=eikonal ep=1400/2000 | lr=1.00e-04 | f1=0.1216 | |grad f1|=0.7250 | ortho=0.00000
[train] method=eikonal ep=1450/2000 | lr=1.00e-04 | f1=0.1170 | |grad f1|=0.7378 | ortho=0.00000
[train] method=eikonal ep=1500/2000 | lr=1.00e-04 | f1=0.1117 | |grad f1|=0.7504 | ortho=0.00000
[train] method=eikonal ep=1550/2000 | lr=1.00e-04 | f1=0.1063 | |grad f1|=0.7660 | ortho=0.00000
[train] method=eikonal ep=1600/2000 | lr=1.00e-04 | f1=0.1006 | |grad f1|=0.7820 | ortho=0.00000
