method,mean_over_datasets,std_over_datasets,n_datasets
ONCL (Ours),0.10259936178645716,0.12975015099184337,10
DataAug,0.15496279078061598,0.11388658537204643,10
VAE,0.2995542056435147,0.2532356122508179,10
ECoMaNN,0.5084006889916817,0.16944145060666202,10
