method,mean_over_datasets,std_over_datasets,n_datasets
ONCL (Ours),0.03712136141801024,0.05040970211338983,10
DataAug,0.08528334765132942,0.09310490173885343,10
VAE,0.27274338507749385,0.23865357708252122,10
ECoMaNN,0.5693848202839668,0.19540100944250482,10
