2026-03-04 10:14:34,149 INFO    MainThread:585571 [wandb_run.py:_config_callback():1393] config_cb None None {'resolved__vae__3d_planar_arm_line_n3__cfg__seed': 173, 'resolved__vae__3d_planar_arm_line_n3__cfg__device': 'cuda', 'resolved__vae__3d_planar_arm_line_n3__cfg__n_train': 512, 'resolved__vae__3d_planar_arm_line_n3__cfg__n_grid': 4096, 'resolved__vae__3d_planar_arm_line_n3__cfg__latent_dim': -1, 'resolved__vae__3d_planar_arm_line_n3__cfg__hidden_dims': [128, 128, 128], 'resolved__vae__3d_planar_arm_line_n3__cfg__epochs': 800, 'resolved__vae__3d_planar_arm_line_n3__cfg__batch_size': 128, 'resolved__vae__3d_planar_arm_line_n3__cfg__lr': 0.001, 'resolved__vae__3d_planar_arm_line_n3__cfg__weight_decay': 0.0, 'resolved__vae__3d_planar_arm_line_n3__cfg__beta_final': 0.01, 'resolved__vae__3d_planar_arm_line_n3__cfg__warmup_epochs': 500, 'resolved__vae__3d_planar_arm_line_n3__cfg__ur5_backend': 'auto', 'resolved__vae__3d_planar_arm_line_n3__cfg__viz_enable': True, 'resolved__vae__3d_planar_arm_line_n3__cfg__viz_sample_latent_n': 150, 'resolved__vae__3d_planar_arm_line_n3__cfg__viz_max_eval_points': 2000, 'resolved__vae__3d_planar_arm_line_n3__cfg__projector__alpha': 0.3, 'resolved__vae__3d_planar_arm_line_n3__cfg__projector__steps': 80, 'resolved__vae__3d_planar_arm_line_n3__cfg__projector__min_steps': 20, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__method': 'trajectory_opt', 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__opt_steps': 1240, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__opt_lr': 0.01, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__opt_lam_smooth': 0.2, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__lam_manifold': 1.0, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__lam_len_joint': 0.4, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__trust_scale': 0.8, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__pair_min_ratio': 0.15, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__pair_max_ratio': 0.35, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__pair_tries': 1200, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__init_mode': 'joint_spline', 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__joint_mid_noise': 0.0, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__anim_fps': 6, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__anim_stride': 1, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__save_gif': False, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__pybullet_render': False, 'resolved__vae__3d_planar_arm_line_n3__cfg__planner__pybullet_real_time_dt': 0.06, 'resolved__vae__3d_planar_arm_line_n3__seed': 173, 'resolved__vae__3d_planar_arm_line_n3__loaded_config_paths': ['/home/baiyu/PycharmProjects/equality_manofld/configs/base.json', '/home/baiyu/PycharmProjects/equality_manofld/configs/methods/vae.json', '/home/baiyu/PycharmProjects/equality_manofld/configs/datasets/3d_planar_arm_line_n3.json'], 'resolved__vae__3d_planar_arm_line_n3__loaded_layers_count': 3}
2026-03-04 10:14:46,519 INFO    MainThread:585571 [wandb_run.py:_config_callback():1393] config_cb None None {'resolved__vae__3d_spatial_arm_circle_n3__cfg__seed': 173, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__device': 'cuda', 'resolved__vae__3d_spatial_arm_circle_n3__cfg__n_train': 512, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__n_grid': 4096, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__latent_dim': -1, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__hidden_dims': [128, 128, 128], 'resolved__vae__3d_spatial_arm_circle_n3__cfg__epochs': 800, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__batch_size': 128, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__lr': 0.001, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__weight_decay': 0.0, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__beta_final': 0.01, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__warmup_epochs': 500, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__ur5_backend': 'auto', 'resolved__vae__3d_spatial_arm_circle_n3__cfg__viz_enable': True, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__viz_sample_latent_n': 150, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__viz_max_eval_points': 2000, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__projector__alpha': 0.3, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__projector__steps': 80, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__projector__min_steps': 20, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__method': 'trajectory_opt', 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__opt_steps': 1240, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__opt_lr': 0.01, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__opt_lam_smooth': 0.2, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__lam_manifold': 1.0, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__lam_len_joint': 0.4, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__trust_scale': 0.8, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__pair_min_ratio': 0.15, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__pair_max_ratio': 0.35, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__pair_tries': 1200, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__init_mode': 'joint_spline', 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__joint_mid_noise': 0.0, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__anim_fps': 6, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__anim_stride': 1, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__save_gif': False, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__pybullet_render': False, 'resolved__vae__3d_spatial_arm_circle_n3__cfg__planner__pybullet_real_time_dt': 0.06, 'resolved__vae__3d_spatial_arm_circle_n3__seed': 173, 'resolved__vae__3d_spatial_arm_circle_n3__loaded_config_paths': ['/home/baiyu/PycharmProjects/equality_manofld/configs/base.json', '/home/baiyu/PycharmProjects/equality_manofld/configs/methods/vae.json', '/home/baiyu/PycharmProjects/equality_manofld/configs/datasets/3d_spatial_arm_circle_n3.json'], 'resolved__vae__3d_spatial_arm_circle_n3__loaded_layers_count': 3}
2026-03-04 10:14:59,062 INFO    MainThread:585571 [wandb_run.py:_config_callback():1393] config_cb None None {'resolved__vae__3d_spiral__cfg__seed': 173, 'resolved__vae__3d_spiral__cfg__device': 'cuda', 'resolved__vae__3d_spiral__cfg__n_train': 512, 'resolved__vae__3d_spiral__cfg__n_grid': 4096, 'resolved__vae__3d_spiral__cfg__latent_dim': -1, 'resolved__vae__3d_spiral__cfg__hidden_dims': [128, 128, 128], 'resolved__vae__3d_spiral__cfg__epochs': 800, 'resolved__vae__3d_spiral__cfg__batch_size': 128, 'resolved__vae__3d_spiral__cfg__lr': 0.001, 'resolved__vae__3d_spiral__cfg__weight_decay': 0.0, 'resolved__vae__3d_spiral__cfg__beta_final': 0.01, 'resolved__vae__3d_spiral__cfg__warmup_epochs': 500, 'resolved__vae__3d_spiral__cfg__ur5_backend': 'auto', 'resolved__vae__3d_spiral__cfg__viz_enable': True, 'resolved__vae__3d_spiral__cfg__viz_sample_latent_n': 150, 'resolved__vae__3d_spiral__cfg__viz_max_eval_points': 2000, 'resolved__vae__3d_spiral__cfg__projector__alpha': 0.3, 'resolved__vae__3d_spiral__cfg__projector__steps': 80, 'resolved__vae__3d_spiral__cfg__projector__min_steps': 20, 'resolved__vae__3d_spiral__cfg__planner__method': 'trajectory_opt', 'resolved__vae__3d_spiral__cfg__planner__opt_steps': 1240, 'resolved__vae__3d_spiral__cfg__planner__opt_lr': 0.01, 'resolved__vae__3d_spiral__cfg__planner__opt_lam_smooth': 0.2, 'resolved__vae__3d_spiral__cfg__planner__lam_manifold': 1.0, 'resolved__vae__3d_spiral__cfg__planner__lam_len_joint': 0.4, 'resolved__vae__3d_spiral__cfg__planner__trust_scale': 0.8, 'resolved__vae__3d_spiral__cfg__planner__pair_min_ratio': 0.15, 'resolved__vae__3d_spiral__cfg__planner__pair_max_ratio': 0.35, 'resolved__vae__3d_spiral__cfg__planner__pair_tries': 1200, 'resolved__vae__3d_spiral__cfg__planner__init_mode': 'joint_spline', 'resolved__vae__3d_spiral__cfg__planner__joint_mid_noise': 0.0, 'resolved__vae__3d_spiral__cfg__planner__anim_fps': 6, 'resolved__vae__3d_spiral__cfg__planner__anim_stride': 1, 'resolved__vae__3d_spiral__cfg__planner__save_gif': False, 'resolved__vae__3d_spiral__cfg__planner__pybullet_render': False, 'resolved__vae__3d_spiral__cfg__planner__pybullet_real_time_dt': 0.06, 'resolved__vae__3d_spiral__seed': 173, 'resolved__vae__3d_spiral__loaded_config_paths': ['/home/baiyu/PycharmProjects/equality_manofld/configs/base.json', '/home/baiyu/PycharmProjects/equality_manofld/configs/methods/vae.json', '/home/baiyu/PycharmProjects/equality_manofld/configs/datasets/3d_spiral.json'], 'resolved__vae__3d_spiral__loaded_layers_count': 3}
2026-03-04 10:15:10,669 INFO    MainThread:585571 [wandb_run.py:_config_callback():1393] config_cb None None {'resolved__vae__3d_torus_surface__cfg__seed': 173, 'resolved__vae__3d_torus_surface__cfg__device': 'cuda', 'resolved__vae__3d_torus_surface__cfg__n_train': 512, 'resolved__vae__3d_torus_surface__cfg__n_grid': 4096, 'resolved__vae__3d_torus_surface__cfg__latent_dim': -1, 'resolved__vae__3d_torus_surface__cfg__hidden_dims': [128, 128, 128], 'resolved__vae__3d_torus_surface__cfg__epochs': 800, 'resolved__vae__3d_torus_surface__cfg__batch_size': 128, 'resolved__vae__3d_torus_surface__cfg__lr': 0.001, 'resolved__vae__3d_torus_surface__cfg__weight_decay': 0.0, 'resolved__vae__3d_torus_surface__cfg__beta_final': 0.01, 'resolved__vae__3d_torus_surface__cfg__warmup_epochs': 500, 'resolved__vae__3d_torus_surface__cfg__ur5_backend': 'auto', 'resolved__vae__3d_torus_surface__cfg__viz_enable': True, 'resolved__vae__3d_torus_surface__cfg__viz_sample_latent_n': 150, 'resolved__vae__3d_torus_surface__cfg__viz_max_eval_points': 2000, 'resolved__vae__3d_torus_surface__cfg__projector__alpha': 0.3, 'resolved__vae__3d_torus_surface__cfg__projector__steps': 80, 'resolved__vae__3d_torus_surface__cfg__projector__min_steps': 20, 'resolved__vae__3d_torus_surface__cfg__planner__method': 'trajectory_opt', 'resolved__vae__3d_torus_surface__cfg__planner__opt_steps': 1240, 'resolved__vae__3d_torus_surface__cfg__planner__opt_lr': 0.01, 'resolved__vae__3d_torus_surface__cfg__planner__opt_lam_smooth': 0.2, 'resolved__vae__3d_torus_surface__cfg__planner__lam_manifold': 1.0, 'resolved__vae__3d_torus_surface__cfg__planner__lam_len_joint': 0.4, 'resolved__vae__3d_torus_surface__cfg__planner__trust_scale': 0.8, 'resolved__vae__3d_torus_surface__cfg__planner__pair_min_ratio': 0.15, 'resolved__vae__3d_torus_surface__cfg__planner__pair_max_ratio': 0.35, 'resolved__vae__3d_torus_surface__cfg__planner__pair_tries': 1200, 'resolved__vae__3d_torus_surface__cfg__planner__init_mode': 'joint_spline', 'resolved__vae__3d_torus_surface__cfg__planner__joint_mid_noise': 0.0, 'resolved__vae__3d_torus_surface__cfg__planner__anim_fps': 6, 'resolved__vae__3d_torus_surface__cfg__planner__anim_stride': 1, 'resolved__vae__3d_torus_surface__cfg__planner__save_gif': False, 'resolved__vae__3d_torus_surface__cfg__planner__pybullet_render': False, 'resolved__vae__3d_torus_surface__cfg__planner__pybullet_real_time_dt': 0.06, 'resolved__vae__3d_torus_surface__seed': 173, 'resolved__vae__3d_torus_surface__loaded_config_paths': ['/home/baiyu/PycharmProjects/equality_manofld/configs/base.json', '/home/baiyu/PycharmProjects/equality_manofld/configs/methods/vae.json', '/home/baiyu/PycharmProjects/equality_manofld/configs/datasets/3d_torus_surface.json'], 'resolved__vae__3d_torus_surface__loaded_layers_count': 3}
2026-03-04 10:15:18,972 INFO    MainThread:585571 [wandb_run.py:_config_callback():1393] config_cb None None {'resolved__vae__3d_vz_2d_ellipse__cfg__seed': 173, 'resolved__vae__3d_vz_2d_ellipse__cfg__device': 'cuda', 'resolved__vae__3d_vz_2d_ellipse__cfg__n_train': 128, 'resolved__vae__3d_vz_2d_ellipse__cfg__n_grid': 4096, 'resolved__vae__3d_vz_2d_ellipse__cfg__latent_dim': -1, 'resolved__vae__3d_vz_2d_ellipse__cfg__hidden_dims': [128, 128, 128], 'resolved__vae__3d_vz_2d_ellipse__cfg__epochs': 800, 'resolved__vae__3d_vz_2d_ellipse__cfg__batch_size': 128, 'resolved__vae__3d_vz_2d_ellipse__cfg__lr': 0.001, 'resolved__vae__3d_vz_2d_ellipse__cfg__weight_decay': 0.0, 'resolved__vae__3d_vz_2d_ellipse__cfg__beta_final': 0.01, 'resolved__vae__3d_vz_2d_ellipse__cfg__warmup_epochs': 500, 'resolved__vae__3d_vz_2d_ellipse__cfg__ur5_backend': 'auto', 'resolved__vae__3d_vz_2d_ellipse__cfg__viz_enable': True, 'resolved__vae__3d_vz_2d_ellipse__cfg__viz_sample_latent_n': 150, 'resolved__vae__3d_vz_2d_ellipse__cfg__viz_max_eval_points': 2000, 'resolved__vae__3d_vz_2d_ellipse__cfg__projector__alpha': 0.3, 'resolved__vae__3d_vz_2d_ellipse__cfg__projector__steps': 80, 'resolved__vae__3d_vz_2d_ellipse__cfg__projector__min_steps': 20, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__method': 'trajectory_opt', 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__opt_steps': 1240, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__opt_lr': 0.01, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__opt_lam_smooth': 0.2, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__lam_manifold': 1.0, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__lam_len_joint': 0.4, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__trust_scale': 0.8, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__pair_min_ratio': 0.15, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__pair_max_ratio': 0.35, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__pair_tries': 1200, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__init_mode': 'joint_spline', 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__joint_mid_noise': 0.0, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__anim_fps': 6, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__anim_stride': 1, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__save_gif': False, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__pybullet_render': False, 'resolved__vae__3d_vz_2d_ellipse__cfg__planner__pybullet_real_time_dt': 0.06, 'resolved__vae__3d_vz_2d_ellipse__seed': 173, 'resolved__vae__3d_vz_2d_ellipse__loaded_config_paths': ['/home/baiyu/PycharmProjects/equality_manofld/configs/base.json', '/home/baiyu/PycharmProjects/equality_manofld/configs/methods/vae.json', '/home/baiyu/PycharmProjects/equality_manofld/configs/datasets/3d_vz_2d_ellipse.json'], 'resolved__vae__3d_vz_2d_ellipse__loaded_layers_count': 3}
2026-03-04 10:15:19,013 INFO    MainThread:585571 [wandb_run.py:_finish():2163] finishing run pby/equality_manifold_unified/cf6j70e6
2026-03-04 10:15:19,013 INFO    MainThread:585571 [wandb_run.py:_atexit_cleanup():2427] got exitcode: 0
2026-03-04 10:15:19,013 INFO    MainThread:585571 [wandb_run.py:_restore():2409] restore
2026-03-04 10:15:19,013 INFO    MainThread:585571 [wandb_run.py:_restore():2415] restore done
2026-03-04 10:15:21,175 INFO    MainThread:585571 [wandb_run.py:_footer_history_summary_info():4042] rendering history
2026-03-04 10:15:21,176 INFO    MainThread:585571 [wandb_run.py:_footer_history_summary_info():4074] rendering summary
2026-03-04 10:15:21,178 INFO    MainThread:585571 [wandb_run.py:_footer_sync_info():4001] logging synced files
