dataset,method,n,mean,median,std,min,max
3d_spatial_arm_circle_n3,delta,3,0.15063219517469406,0.15256178379058838,0.05433231382359322,0.08314516395330429,0.21618963778018951
3d_spatial_arm_circle_n3,eikonal,3,0.019431790336966515,0.01894807070493698,0.001802085159135969,0.01750667579472065,0.021840624511241913
3d_spatial_arm_circle_n3,vae,3,0.07226526613036792,0.0748833566904068,0.03942106843110989,0.02272873744368553,0.11918370425701141
3d_spatial_arm_circle_n3,ecomann,3,0.16746889551480612,0.15731622278690338,0.022728996270533777,0.14613305032253265,0.1989574134349823
