method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
oncl,3d_spatial_arm_ellip_n3_traj,0,0.03737914562225342,0.03360225260257721,0.03360225260257721,0.009771093726158142,0.02285337634384632,0.027608053758740425,0.09121379256248474,8128.0,4096.0,0.00049079754601227,0.0002171549858758226,0.92138671875,0.8677411417322834,0.027608053758740425,19.0,0.29478317499160767,0.029295101761817932,11.00024821900297
oncl,3d_spatial_arm_ellip_n3_traj,1,0.0373532772064209,0.03391820937395096,0.03391820937395096,0.009504257701337337,0.017622919753193855,0.027849020436406136,0.06052973493933678,8128.0,4096.0,0.0004898359049718344,0.00021887758339289576,0.827392578125,0.7736220472440944,0.027849020436406136,19.0,0.29483479261398315,0.025825774297118187,11.850829090049956
oncl,3d_spatial_arm_ellip_n3_traj,2,0.03684864193201065,0.026139581575989723,0.026139581575989723,0.010479891672730446,0.020580120384693146,0.026368748396635056,0.08003053069114685,8128.0,4096.0,0.0004895960832313342,0.00020807301916647702,0.926513671875,0.844488188976378,0.026368748396635056,19.0,0.29084935784339905,0.026676181703805923,10.56012322101742
oncl,3d_spatial_arm_ellip_n3_traj,3,0.036629315465688705,0.030600404366850853,0.030600404366850853,0.010420479811728,0.019187984988093376,0.02620883658528328,0.06779412925243378,8128.0,4096.0,0.0009784735812133072,0.00022008125961292535,0.931640625,0.8854576771653543,0.02620883658528328,19.000244140625,0.2894178032875061,0.026805423200130463,10.349443639977835
oncl,3d_spatial_arm_ellip_n3_traj,4,0.03441447392106056,0.02742232196033001,0.02742232196033001,0.009215948171913624,0.021660607308149338,0.025198526680469513,0.07180587947368622,8128.0,4096.0,0.0004893564962074871,0.00017926788132172078,0.935791015625,0.859498031496063,0.025198526680469513,19.0,0.2927846312522888,0.028945066034793854,10.942223946971353
oncl,3d_spatial_arm_ellip_n3_traj,5,0.04098021984100342,0.033628910779953,0.033628910779953,0.012269631959497929,0.023585187271237373,0.028710588812828064,0.0686178058385849,8128.0,4096.0,0.0012224938875305623,0.00021739385556429625,0.903564453125,0.8343996062992126,0.028710588812828064,19.000244140625,0.29444295167922974,0.029894806444644928,11.590795679017901
oncl,3d_spatial_arm_ellip_n3_traj,6,0.034980352967977524,0.02967820316553116,0.02967820316553116,0.008428137749433517,0.015888407826423645,0.026552215218544006,0.07530476897954941,8128.0,4096.0,0.0004889975550122249,0.00019989859720226377,0.89453125,0.8334153543307087,0.026552215218544006,19.0,0.291334867477417,0.028679735958576202,11.666662789997645
ecomann,3d_spatial_arm_ellip_n3_traj,0,0.2010403275489807,0.13901512324810028,0.13901512324810028,0.04888462275266647,0.07778225839138031,0.15215569734573364,0.7023465633392334,8128.0,4096.0,0.02355828220858896,0.00492601515725255,0.05810546875,0.843996062992126,0.15215569734573364,4.37109375,0.4244801700115204,0.012932946905493736,81.90389263699763
ecomann,3d_spatial_arm_ellip_n3_traj,1,0.3488871455192566,0.1243918240070343,0.1243918240070343,0.05127807706594467,0.10185793042182922,0.2976090610027313,0.9469649791717529,8128.0,4096.0,0.05094293411707078,0.0034015539567917585,0.031982421875,0.891486220472441,0.29760903120040894,27.4609375,0.8181415796279907,0.11544515937566757,85.13577331905253
ecomann,3d_spatial_arm_ellip_n3_traj,2,0.38966965675354004,0.21022917330265045,0.21022917330265045,0.08654610812664032,0.2427763193845749,0.3031235635280609,0.9859079718589783,8128.0,4096.0,0.05997552019583843,0.014022593386471272,0.04052734375,0.921875,0.3031235635280609,62.4560546875,1.0222821235656738,0.09542852640151978,79.72469098703004
ecomann,3d_spatial_arm_ellip_n3_traj,3,0.8095202445983887,0.1904008686542511,0.1904008686542511,0.21207286417484283,0.46648502349853516,0.597447395324707,0.9338704347610474,8128.0,4096.0,0.07705479452054795,0.011269462294876575,0.003173828125,0.9514025590551181,0.597447395324707,92.044677734375,1.0727033615112305,0.13512547314167023,84.57789098500507
ecomann,3d_spatial_arm_ellip_n3_traj,4,0.09365866333246231,0.11615955829620361,0.11615955829620361,0.022117113694548607,0.04567836597561836,0.07154154777526855,0.16021806001663208,8128.0,4096.0,0.020063616344506974,0.003059891052544117,0.36767578125,0.8332923228346457,0.07154154777526855,6.431640625,0.41375768184661865,0.03009210154414177,79.0531110970187
ecomann,3d_spatial_arm_ellip_n3_traj,5,0.4063655436038971,0.12936942279338837,0.12936942279338837,0.06917381286621094,0.17819654941558838,0.33719173073768616,0.9591745138168335,8128.0,4096.0,0.01784841075794621,0.004902328830212355,0.102294921875,0.828125,0.33719173073768616,57.979248046875,0.8599610328674316,0.19689294695854187,83.08199957403122
ecomann,3d_spatial_arm_ellip_n3_traj,6,0.22838912904262543,0.1440303921699524,0.1440303921699524,0.06094108149409294,0.09445760399103165,0.1674480438232422,0.46687567234039307,8128.0,4096.0,0.05305623471882641,0.00584365613758564,0.03759765625,0.8454724409448819,0.1674480438232422,9.6494140625,0.6597625017166138,0.05306234210729599,77.70584651897661
oncl,3d_torus_surface_traj,0,0.10552781820297241,0.012252628803253174,0.012252628803253174,0.0631878674030304,0.13613280653953552,0.04233995079994202,0.08214158564805984,8100.0,4096.0,0.00026961445133459155,2.5274903237004764e-05,0.9140625,0.8775308641975309,0.04233995079994202,19.0,0.04564668610692024,0.0007072453154250979,24.632741168956272
oncl,3d_torus_surface_traj,1,0.10232837498188019,0.004883297253400087,0.004883297253400087,0.061567436903715134,0.1331876516342163,0.04076094180345535,0.08190381526947021,8100.0,4096.0,0.00027151778441487917,4.465910024009645e-06,0.91943359375,0.6790123456790124,0.04076094180345535,19.0,0.04270095378160477,0.0006000957218930125,23.695748160011135
oncl,3d_torus_surface_traj,2,0.10159850120544434,0.007087585981935263,0.007087585981935263,0.06073574349284172,0.1307285875082016,0.040862761437892914,0.0815223976969719,8100.0,4096.0,0.0005422993492407809,8.468093255942222e-06,0.9208984375,0.8244444444444444,0.040862761437892914,19.0,0.042465612292289734,0.0005984805175103247,24.13044117798563
oncl,3d_torus_surface_traj,3,0.1030542254447937,0.0075782909989356995,0.0075782909989356995,0.06212879344820976,0.13768817484378815,0.04092542827129364,0.0827406793832779,8100.0,4096.0,0.0,1.0502432814973872e-05,0.917236328125,0.8179012345679012,0.04092542827129364,19.0,0.04240024834871292,0.0005748786497861147,23.757531695999205
oncl,3d_torus_surface_traj,4,0.10040353238582611,0.007808002643287182,0.007808002643287182,0.05974023789167404,0.12616309523582458,0.04066329821944237,0.0822654515504837,8100.0,4096.0,0.0016335420637081405,1.1322193131491076e-05,0.920166015625,0.7925925925925926,0.04066329821944237,19.0,0.043086349964141846,0.000546162948012352,24.205578097025864
oncl,3d_torus_surface_traj,5,0.10410954058170319,0.010892138816416264,0.010892138816416264,0.06142047792673111,0.1298121213912964,0.042689062654972076,0.08317039906978607,8100.0,4096.0,0.0013430029546065002,2.2125825125840493e-05,0.910400390625,0.8325925925925926,0.042689062654972076,19.0,0.045913055539131165,0.0006537542794831097,23.208107951038983
oncl,3d_torus_surface_traj,6,0.10309838503599167,0.008478724397718906,0.008478724397718906,0.06145346909761429,0.12966980040073395,0.04164491593837738,0.08310636878013611,8100.0,4096.0,0.002157497303128371,1.0925156857410911e-05,0.912353515625,0.8696296296296296,0.04164491593837738,19.0,0.043350379914045334,0.0006502520409412682,23.75590213004034
ecomann,3d_torus_surface_traj,0,0.5168971419334412,0.4080275893211365,0.4080275893211365,0.23727858066558838,0.40222105383872986,0.2796185612678528,0.46505776047706604,8100.0,4096.0,0.4850363979509302,0.04290267825126648,0.035888671875,0.9319753086419753,0.2796185612678528,3.569091796875,0.32646533846855164,0.010112862102687359,16.341387437016238
ecomann,3d_torus_surface_traj,1,0.644048273563385,0.3282022178173065,0.3282022178173065,0.2871134877204895,0.6856247782707214,0.3569347858428955,1.3688361644744873,8100.0,4096.0,0.4390442573988596,0.019987786188721657,0.164794921875,0.6958024691358025,0.3569347858428955,4.34912109375,0.4680798351764679,0.014581672847270966,19.964292161981575
ecomann,3d_torus_surface_traj,2,0.5338436365127563,0.28087955713272095,0.28087955713272095,0.23604485392570496,0.45068928599357605,0.2977988123893738,0.6739383935928345,8100.0,4096.0,0.6049349240780911,0.014087509363889694,0.101806640625,0.9424691358024692,0.2977988123893738,3.25341796875,0.39890044927597046,0.011937825009226799,14.324657201999798
ecomann,3d_torus_surface_traj,3,0.6147447824478149,0.2951732575893402,0.2951732575893402,0.2198302447795868,0.43258360028266907,0.39491456747055054,0.796561598777771,8100.0,4096.0,0.5316490084216245,0.01852220855653286,0.09912109375,0.9581481481481482,0.39491456747055054,11.410400390625,0.4968215525150299,0.04109704867005348,16.941848944989033
ecomann,3d_torus_surface_traj,4,0.7624578475952148,0.5267881751060486,0.5267881751060486,0.37386995553970337,0.812875509262085,0.3885878622531891,1.106835961341858,8100.0,4096.0,0.6016879934658318,0.05212150886654854,0.093017578125,0.8612345679012345,0.3885878622531891,3.571533203125,0.557585597038269,0.01018937211483717,16.916538313031197
ecomann,3d_torus_surface_traj,5,0.4170423746109009,0.19875167310237885,0.19875167310237885,0.21222525835037231,0.4035491645336151,0.20481710135936737,0.40654000639915466,8100.0,4096.0,0.370668815471394,0.00893422681838274,0.10888671875,0.865679012345679,0.20481710135936737,3.1572265625,0.26633700728416443,0.0084763802587986,13.806365732045379
ecomann,3d_torus_surface_traj,6,0.7070462703704834,0.47224608063697815,0.47224608063697815,0.33308133482933044,0.6657313108444214,0.37396490573883057,0.8591634035110474,8100.0,4096.0,0.5720064724919094,0.05062699690461159,0.09375,0.81,0.37396490573883057,3.285400390625,0.5021888017654419,0.011023489758372307,14.881565466988832
oncl,6d_workspace_sine_surface_pose_traj,0,0.2807363271713257,0.006576225161552429,0.006576225161552429,0.046785466372966766,0.09224295616149902,0.23395085334777832,1.0072015523910522,8128.0,4096.0,0.0,9.483686881139874e-06,0.747802734375,0.8208661417322834,0.05609164014458656,29.0,0.31704869866371155,0.0012866028118878603,126.09102626895765
oncl,6d_workspace_sine_surface_pose_traj,1,0.2707182765007019,0.005626428406685591,0.005626428406685591,0.04663831740617752,0.09323269873857498,0.2240799516439438,0.9851542115211487,8128.0,4096.0,0.0,7.849727808206808e-06,0.772216796875,0.8462106299212598,0.04663417115807533,29.0,0.3131219148635864,0.0014742405619472265,123.79658408800606
oncl,6d_workspace_sine_surface_pose_traj,2,0.2731843590736389,0.0070862798020243645,0.0070862798020243645,0.045443594455718994,0.0882348120212555,0.22774076461791992,1.0146433115005493,8128.0,4096.0,0.0,1.2485019396990538e-05,0.756591796875,0.8294783464566929,0.050453104078769684,29.0,0.30871328711509705,0.0014638700522482395,124.3681793679716
oncl,6d_workspace_sine_surface_pose_traj,3,0.26658135652542114,0.010207049548625946,0.010207049548625946,0.04720383882522583,0.09286653995513916,0.21937750279903412,0.9824763536453247,8128.0,4096.0,0.0,2.5031768018379807e-05,0.7490234375,0.8148375984251969,0.049396805465221405,29.0,0.3070722818374634,0.002208348363637924,124.23901285399916
oncl,6d_workspace_sine_surface_pose_traj,4,0.2810130715370178,0.005483912769705057,0.005483912769705057,0.04742260277271271,0.09280218183994293,0.2335904836654663,0.9965682625770569,8128.0,4096.0,0.0,7.537371402577264e-06,0.753662109375,0.796998031496063,0.052407264709472656,29.0,0.316120445728302,0.001655925647355616,125.88055645598797
oncl,6d_workspace_sine_surface_pose_traj,5,0.271869033575058,0.010032972320914268,0.010032972320914268,0.04673626646399498,0.09075216948986053,0.2251327782869339,0.9942325353622437,8128.0,4096.0,0.0,2.3682325263507664e-05,0.75732421875,0.9026820866141733,0.05089368298649788,29.0,0.31252390146255493,0.0017550260527059436,125.86943490302656
oncl,6d_workspace_sine_surface_pose_traj,6,0.2894092798233032,0.00782964937388897,0.00782964937388897,0.04895886033773422,0.09714753180742264,0.2404504120349884,0.9459754228591919,8128.0,4096.0,0.0,1.557783252792433e-05,0.66845703125,0.7092765748031497,0.09857907891273499,29.0,0.37234607338905334,0.0020719291642308235,125.33970693399897
ecomann,6d_workspace_sine_surface_pose_traj,0,0.5157263278961182,0.19609397649765015,0.19609397649765015,0.10963667929172516,0.1553768664598465,0.4060896635055542,1.835648536682129,8128.0,4096.0,0.012701514411333659,0.011668294668197632,0.005615234375,0.765871062992126,0.27297043800354004,5.4267578125,0.5086254477500916,0.0761159136891365,1590.2167465729872
ecomann,6d_workspace_sine_surface_pose_traj,1,0.4116678237915039,0.13670551776885986,0.13670551776885986,0.08067305386066437,0.13053958117961884,0.33099478483200073,1.3666141033172607,8128.0,4096.0,0.006591796875,0.004241039045155048,0.082763671875,0.8111466535433071,0.19647854566574097,6.910400390625,0.4533635079860687,0.05483308807015419,1641.4489475170267
ecomann,6d_workspace_sine_surface_pose_traj,2,0.47326144576072693,0.12904171645641327,0.12904171645641327,0.08174783736467361,0.12276055663824081,0.3915136158466339,2.018965005874634,8128.0,4096.0,0.003907203907203907,0.004131741356104612,0.060791015625,0.8089320866141733,0.2711915373802185,10.625732421875,0.5485876798629761,0.1165788397192955,1610.7266855299822
ecomann,6d_workspace_sine_surface_pose_traj,3,0.43566185235977173,0.12541483342647552,0.12541483342647552,0.0823839008808136,0.12854507565498352,0.35327795147895813,1.4815658330917358,8128.0,4096.0,0.004151404151404151,0.0038696620613336563,0.068359375,0.7242864173228346,0.223069429397583,9.404052734375,0.4965609312057495,0.07597672194242477,1665.4030747659854
ecomann,6d_workspace_sine_surface_pose_traj,4,0.4126473665237427,0.13327986001968384,0.13327986001968384,0.08249439299106598,0.12739290297031403,0.3301529884338379,1.3074569702148438,8128.0,4096.0,0.00634765625,0.003912048414349556,0.08544921875,0.8040108267716536,0.20780685544013977,5.07177734375,0.45120781660079956,0.04967047646641731,1633.648221133044
ecomann,6d_workspace_sine_surface_pose_traj,5,0.42969897389411926,0.11007804423570633,0.11007804423570633,0.07723301649093628,0.12001042813062668,0.352465957403183,1.5229970216751099,8128.0,4096.0,0.004151404151404151,0.0031317740213125944,0.082763671875,0.7089074803149606,0.22542275488376617,4.912841796875,0.4658747613430023,0.05909125506877899,1650.141135015001
ecomann,6d_workspace_sine_surface_pose_traj,6,0.47426706552505493,0.11238966882228851,0.11238966882228851,0.08069055527448654,0.13243505358695984,0.3935765027999878,1.8113821744918823,8128.0,4096.0,0.00390625,0.003081335686147213,0.0966796875,0.7272391732283464,0.2421787977218628,5.72216796875,0.5211132168769836,0.08693011850118637,1668.6683659219998
