dataset,method,n,mean,median,std,min,max
3d_torus_surface_traj,delta,3,7.152346353672328,7.259445916002733,0.2591976345749209,6.795197522005765,7.402395623008488
3d_torus_surface_traj,eikonal,3,16.027484146669547,16.09040413099865,0.25253405303780757,15.691572223004187,16.3004760860058
3d_torus_surface_traj,vae,3,4.091220468001363,4.025304619994131,0.10854678294563588,4.004116192008951,4.244240592001006
3d_torus_surface_traj,ecomann,3,11.464488887000092,11.164020648997393,1.7067500647963478,9.540649043003214,13.688796968999668
3d_torus_surface,delta,3,7.3979649886702346,7.27827152700047,0.1838164953131476,7.257967124009156,7.657656315001077
3d_torus_surface,eikonal,3,16.279711296335638,16.441078571995604,0.38799175212076703,15.74485054401157,16.653204772999743
3d_torus_surface,vae,3,3.9765700150019256,3.9900465730024735,0.05104690878180113,3.9084113230055664,4.031252148997737
3d_torus_surface,ecomann,3,10.203666228660344,10.324534200990456,0.2949592876116041,9.797479914996075,10.4889845699945
