method,mean_over_datasets,std_over_datasets,n_datasets
delta,0.2649158672879201,0.0088864253389771,2
eikonal,0.9742466949941135,0.0035522681389082433,2
vae,0.006215854242768186,0.000867890600690454,2
ecomann,0.5503305540276763,0.05638336450632295,2
