method,mean_over_datasets,std_over_datasets,n_datasets
delta,0.09551260218969194,0.07134959561894075,2
eikonal,0.04737396746620367,0.046194873360402976,2
vae,0.691439696777733,0.1838031497249349,2
ecomann,0.7931673473326919,0.05092724910047608,2
