method,mean_over_datasets,std_over_datasets,n_datasets
delta,0.3175453495096773,0.3037417133018712,15
eikonal,0.4258007592969386,0.3888502804509076,15
vae,0.006875966389571909,0.007168344491103691,15
ecomann,0.7413555485813481,0.26506453717677425,15
