method,mean_over_datasets,std_over_datasets,n_datasets
delta,0.14044798900332991,0.1692501567277395,15
eikonal,0.03458459636870001,0.04961363376677611,15
vae,0.27673293765355056,0.20874811687837425,15
ecomann,0.6648317104723404,0.1683542621150169,15
