method,mean_over_datasets,std_over_datasets,n_datasets
delta,0.21011358428043478,0.18797020311707388,15
eikonal,0.07595129184398466,0.1191219109123611,15
vae,0.3098340852025118,0.25655815161861717,15
ecomann,0.5724597427294467,0.16903669262198803,15
