[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep= 800/1000 | lr=3.00e-04 | loss=0.000337 | on=0.000012 | off=0.000650
[train] method=delta ep= 850/1000 | lr=3.00e-04 | loss=0.000303 | on=0.000010 | off=0.000586
[train] method=delta ep= 900/1000 | lr=3.00e-04 | loss=0.000291 | on=0.000032 | off=0.000517
[train] method=delta ep= 950/1000 | lr=3.00e-04 | loss=0.000261 | on=0.000016 | off=0.000489
[train] method=delta ep=1000/1000 | lr=3.00e-04 | loss=0.000197 | on=0.000034 | off=0.000326
[eval] 3d_saddle_surface | proj_dist=0.119966 | pred_recall=0.721649 | pred_FPrate=0.011020 | chamfer=0.183426 | gt->learned=0.038461 | learned->gt=0.144965 | space=data_space
[done] method=delta dataset=3d_saddle_surface seed=173 proj_dist=0.119966 recall=0.721649 FPrate=0.011020
[run] method=delta dataset=3d_spatial_arm_circle_n3 seed=173
[train] method=delta ep=   1/1000 | lr=3.00e-04 | loss=0.079871 | on=0.010287 | off=0.139168
[train] method=delta ep=  50/1000 | lr=3.00e-04 | loss=0.029315 | on=0.002937 | off=0.052756
[train] method=delta ep= 100/1000 | lr=3.00e-04 | loss=0.017162 | on=0.000750 | off=0.032823
[train] method=delta ep= 150/1000 | lr=3.00e-04 | loss=0.013084 | on=0.000198 | off=0.025772
[train] method=delta ep= 200/1000 | lr=3.00e-04 | loss=0.019567 | on=0.000364 | off=0.038407
[train] method=delta ep= 250/1000 | lr=3.00e-04 | loss=0.010324 | on=0.000233 | off=0.020180
[train] method=delta ep= 300/1000 | lr=3.00e-04 | loss=0.007622 | on=0.000267 | off=0.014711
[train] method=delta ep= 350/1000 | lr=3.00e-04 | loss=0.011234 | on=0.000039 | off=0.022390
[train] method=delta ep= 400/1000 | lr=3.00e-04 | loss=0.009960 | on=0.000078 | off=0.019764
[train] method=delta ep= 450/1000 | lr=3.00e-04 | loss=0.007136 | on=0.000083 | off=0.014106
[train] method=delta ep= 500/1000 | lr=3.00e-04 | loss=0.008209 | on=0.000250 | off=0.015918
[train] method=delta ep= 550/1000 | lr=3.00e-04 | loss=0.007406 | on=0.000164 | off=0.014483
[train] method=delta ep= 600/1000 | lr=3.00e-04 | loss=0.010677 | on=0.000337 | off=0.020681
[train] method=delta ep= 650/1000 | lr=3.00e-04 | loss=0.009533 | on=0.000117 | off=0.018831
[train] method=delta ep= 700/1000 | lr=3.00e-04 | loss=0.010522 | on=0.000216 | off=0.020612
[train] method=delta ep= 750/1000 | lr=3.00e-04 | loss=0.010526 | on=0.000173 | off=0.020706
[train] method=delta ep= 800/1000 | lr=3.00e-04 | loss=0.008742 | on=0.000080 | off=0.017324
[train] method=delta ep= 850/1000 | lr=3.00e-04 | loss=0.006441 | on=0.000365 | off=0.012151
[train] method=delta ep= 900/1000 | lr=3.00e-04 | loss=0.006391 | on=0.000127 | off=0.012528
[train] method=delta ep= 950/1000 | lr=3.00e-04 | loss=0.011250 | on=0.000438 | off=0.021625
[train] method=delta ep=1000/1000 | lr=3.00e-04 | loss=0.005579 | on=0.000162 | off=0.010834
[eval] 3d_spatial_arm_circle_n3 | proj_dist=0.300561 | pred_recall=0.090909 | pred_FPrate=0.020073 | chamfer=0.317381 | gt->learned=0.016636 | learned->gt=0.300744 | space=workspace
[done] method=delta dataset=3d_spatial_arm_circle_n3 seed=173 proj_dist=0.300561 recall=0.090909 FPrate=0.020073
[run] method=delta dataset=3d_spiral seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.189966 | on=0.008461 | off=0.090752
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.150384 | on=0.041311 | off=0.054537
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.161381 | on=0.037949 | off=0.061716
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.130369 | on=0.034171 | off=0.048099
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.111829 | on=0.034523 | off=0.038653
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.104307 | on=0.027261 | off=0.038523
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.080866 | on=0.017874 | off=0.031496
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.069585 | on=0.010403 | off=0.029591
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.036199 | on=0.006662 | off=0.014768
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.035421 | on=0.007665 | off=0.013878
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.040024 | on=0.004538 | off=0.017743
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.034453 | on=0.007395 | off=0.013529
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.022767 | on=0.005572 | off=0.008598
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.027198 | on=0.004510 | off=0.011344
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.024800 | on=0.004541 | off=0.010130
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.022681 | on=0.006521 | off=0.008080
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.018582 | on=0.005763 | off=0.006410
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.017320 | on=0.003478 | off=0.006921
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.020287 | on=0.004606 | off=0.007840
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.014039 | on=0.001695 | off=0.006172
