method,mean_over_datasets,std_over_datasets,n_datasets
delta,0.329366262677661,0.32494975644981905,11
eikonal,0.4133713785554335,0.35232115774526546,11
vae,0.0,0.0,11
ecomann,0.8362646509352287,0.28021611042267897,11
