method,mean_over_datasets,std_over_datasets,n_datasets
delta,0.3003519649268376,0.3684061365522464,11
eikonal,0.0029705490515369417,0.005403126528982298,11
vae,0.42068043374275416,0.31388667378269053,11
ecomann,0.929729949847372,0.16370814703527994,11
