method,n_cases,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
dataaug,119,0.16895542848667428,0.0389421514172827,0.0389421514172827,,,0.042755921721016256,0.10220259196905639,0.1261995070527832,0.6027648457866005,8933.176470588236,4096.0,0.02743612316988034,0.0004052526509203286,0.5635422137605042,0.801960299488708,0.10529033033599873,51.03761612066702,0.2516578859140893,0.036813452071122,106.9381297996726
ecomann,119,0.4656890792881741,0.3520175701304644,0.3520175701304644,,,0.1671899543623166,0.3284726551765216,0.2984991233263697,0.8677395812603605,8933.176470588236,4096.0,0.2697547034922013,0.044506450138688716,0.12562573857668066,0.8598658888839875,0.27567939454016566,6.771845456932773,0.4744349287337616,0.06607211769292887,450.31920740432804
oncl,119,0.1441708271853438,0.03018341281161714,0.03018341281161714,,,0.03030922690146219,0.06931297751065313,0.11386160032839335,0.5271342488537941,8933.176470588236,4096.0,0.010189520015269153,0.0004843325183525444,0.7937073266806722,0.8125574468224153,0.08658006442945544,21.406771106880253,0.24280203184692048,0.21208769529974753,34.88638099301592
igr,49,0.3871900346510264,0.012398726760637852,0.012398726760637852,,,0.0659988731839599,0.12737569719438954,0.3211911611487063,0.8587194435602549,9105.714285714286,4096.0,0.012046682887500671,5.224744572448186e-05,0.38522899394132654,0.8015058551708815,0.29943463559813643,21.859509526466837,0.45441319614800874,0.0224450752816201,36.33972400696105
vae,119,0.23939473623362909,0.17848851910534025,0.17848851910534025,0.24474943379143707,0.1699271087746034,0.07433873364709694,0.20966382163377212,0.1650560036959017,0.7408824343265605,8933.176470588236,4096.0,0.06421958078547299,0.011261940284675191,0.48032103466386555,0.6986528487452142,0.15698898578954845,1.0,0.5320737745080676,0.2205697215404831,19.590608927109447
