[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.155881 | on=0.021665 | off=0.013422
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.195386 | on=0.019531 | off=0.017585
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.161235 | on=0.020822 | off=0.014041
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.136136 | on=0.016736 | off=0.011940
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.139431 | on=0.016473 | off=0.012296
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.130329 | on=0.017648 | off=0.011268
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.118203 | on=0.019998 | off=0.009821
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.146836 | on=0.021540 | off=0.012530
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.121156 | on=0.021909 | off=0.009925
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.105970 | on=0.018032 | off=0.008794
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.107342 | on=0.016972 | off=0.009037
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.130294 | on=0.017141 | off=0.011315
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.094858 | on=0.014315 | off=0.008054
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.097061 | on=0.016131 | off=0.008093
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.098127 | on=0.016817 | off=0.008131
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.105876 | on=0.016273 | off=0.008960
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.119041 | on=0.012336 | off=0.010670
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.065021 | on=0.015802 | off=0.004922
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.090623 | on=0.011836 | off=0.007879
