method,n_cases,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
delta,77,0.22162563417880954,0.04007371051793362,0.04007371051793362,,,0.058383128472736905,0.16170089778962074,0.16324250758081288,0.5654255424372174,1024.0,4096.0,0.029758381550876158,0.0004177066131013781,0.44776024756493504,0.7797280844155844,0.13373096814596808,51.63561219054383,0.30833587067371065,0.04510197951073336,23.609371814103937
ecomann,77,0.5136604324563757,0.3691724282387015,0.3691724282387015,,,0.18157424547939333,0.375202566240128,0.3320861847756745,0.9631776807757167,1024.0,4096.0,0.2992871551180264,0.0438966473062559,0.09072836343344155,0.8419363839285714,0.30859782227448057,5.098233309659091,0.5162982025316784,0.06274775966156014,143.9819769937661
eikonal,77,0.15899071525540445,0.0265340852768874,0.0265340852768874,,,0.040190539540505256,0.09296148376200687,0.1188001749408129,0.4372281812179785,1024.0,4096.0,0.011186456538491776,0.0002150492151462482,0.6510849989853896,0.7779556868912337,0.08139153843285976,19.990113890016232,0.27592013101395846,0.01983052505219549,29.064966234986958
vae,77,0.2933192096844122,0.1876727898496312,0.1876727898496312,0.2892723816942859,0.19073079522795877,0.09907035570736829,0.2926452697871567,0.1942488548962714,0.7192043048124035,1024.0,4096.0,0.07281054340521323,0.012218981641858768,0.33975814224837664,0.6679941152597403,0.17567942787397217,1.0,0.6102267039286626,0.2297546893551752,7.110827451636361
