[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.001580 | on=0.000302 | off=0.000426
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.001186 | on=0.000304 | off=0.000294
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.001026 | on=0.000221 | off=0.000268
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.000933 | on=0.000270 | off=0.000221
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.000801 | on=0.000174 | off=0.000209
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.000710 | on=0.000193 | off=0.000172
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.000633 | on=0.000114 | off=0.000173
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.000636 | on=0.000132 | off=0.000168
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.000551 | on=0.000164 | off=0.000129
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.000565 | on=0.000149 | off=0.000139
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.000441 | on=0.000127 | off=0.000105
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.000440 | on=0.000082 | off=0.000119
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.000465 | on=0.000066 | off=0.000133
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.000389 | on=0.000116 | off=0.000091
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.000277 | on=0.000085 | off=0.000064
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.000385 | on=0.000053 | off=0.000110
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.000390 | on=0.000078 | off=0.000104
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.000410 | on=0.000023 | off=0.000129
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.000367 | on=0.000057 | off=0.000103
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.000331 | on=0.000025 | off=0.000102
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.000311 | on=0.000063 | off=0.000082
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.000316 | on=0.000020 | off=0.000099
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.000274 | on=0.000071 | off=0.000068
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.000182 | on=0.000017 | off=0.000055
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.000275 | on=0.000020 | off=0.000085
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.000232 | on=0.000017 | off=0.000072
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.000327 | on=0.000071 | off=0.000085
[eval] 3d_saddle_surface | proj_dist=0.108976 | pred_recall=0.515464 | pred_FPrate=0.005894 | chamfer=0.167858 | gt->learned=0.031013 | learned->gt=0.136845 | space=data_space
/home/baiyu/PycharmProjects/equality_manofld/methods/vector_eikonal/plots.py:308: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
[done] method=delta dataset=3d_saddle_surface seed=173 proj_dist=0.108976 recall=0.515464 FPrate=0.005894
[run] method=delta dataset=3d_spatial_arm_circle_n3 seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.425102 | on=0.010761 | off=0.138114
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.198064 | on=0.052913 | off=0.048384
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.136899 | on=0.021973 | off=0.038308
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.141054 | on=0.033326 | off=0.035909
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.119808 | on=0.018372 | off=0.033812
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.096392 | on=0.015403 | off=0.026996
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.080853 | on=0.012897 | off=0.022652
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.017659 | on=0.006489 | off=0.003724
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.016725 | on=0.004570 | off=0.004052
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.014632 | on=0.005351 | off=0.003094
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.013131 | on=0.004175 | off=0.002985
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.010446 | on=0.003597 | off=0.002283
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.011099 | on=0.003297 | off=0.002601
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.009382 | on=0.002597 | off=0.002262
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.006954 | on=0.002701 | off=0.001418
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.007187 | on=0.001968 | off=0.001740
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.006998 | on=0.001179 | off=0.001940
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.005704 | on=0.001996 | off=0.001236
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.004286 | on=0.001153 | off=0.001044
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.004477 | on=0.001277 | off=0.001067
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.003184 | on=0.000844 | off=0.000780
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.003231 | on=0.000748 | off=0.000827
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.002834 | on=0.000677 | off=0.000719
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.002089 | on=0.000494 | off=0.000532
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.002008 | on=0.000445 | off=0.000521
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.002611 | on=0.000857 | off=0.000585
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.001666 | on=0.000367 | off=0.000433
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.001564 | on=0.000536 | off=0.000343
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.001939 | on=0.000146 | off=0.000598
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.001249 | on=0.000511 | off=0.000246
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.002079 | on=0.000242 | off=0.000612
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.001411 | on=0.000203 | off=0.000403
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.001343 | on=0.000427 | off=0.000305
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.001293 | on=0.000256 | off=0.000346
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.001662 | on=0.000172 | off=0.000497
