[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep= 800/1000 | lr=3.00e-04 | loss=0.000041 | on=0.000007 | off=0.000112
[train] method=delta ep= 850/1000 | lr=3.00e-04 | loss=0.000022 | on=0.000002 | off=0.000067
[train] method=delta ep= 900/1000 | lr=3.00e-04 | loss=0.000052 | on=0.000020 | off=0.000105
[train] method=delta ep= 950/1000 | lr=3.00e-04 | loss=0.000018 | on=0.000002 | off=0.000054
[train] method=delta ep=1000/1000 | lr=3.00e-04 | loss=0.000028 | on=0.000004 | off=0.000081
[eval] 3d_saddle_surface | proj_dist=0.110245 | pred_recall=0.082474 | pred_FPrate=0.001538 | chamfer=0.168881 | gt->learned=0.030328 | learned->gt=0.138553 | space=data_space
[done] method=delta dataset=3d_saddle_surface seed=173 proj_dist=0.110245 recall=0.082474 FPrate=0.001538
[run] method=delta dataset=3d_spatial_arm_circle_n3 seed=173
[train] method=delta ep=   1/1000 | lr=3.00e-04 | loss=0.051614 | on=0.007668 | off=0.146486
[train] method=delta ep=  50/1000 | lr=3.00e-04 | loss=0.011888 | on=0.000692 | off=0.037321
[train] method=delta ep= 100/1000 | lr=3.00e-04 | loss=0.009230 | on=0.000218 | off=0.030043
[train] method=delta ep= 150/1000 | lr=3.00e-04 | loss=0.008298 | on=0.000376 | off=0.026406
[train] method=delta ep= 200/1000 | lr=3.00e-04 | loss=0.011610 | on=0.000068 | off=0.038474
[train] method=delta ep= 250/1000 | lr=3.00e-04 | loss=0.006149 | on=0.000017 | off=0.020442
[train] method=delta ep= 300/1000 | lr=3.00e-04 | loss=0.004631 | on=0.000049 | off=0.015273
[train] method=delta ep= 350/1000 | lr=3.00e-04 | loss=0.006845 | on=0.000110 | off=0.022449
[train] method=delta ep= 400/1000 | lr=3.00e-04 | loss=0.006077 | on=0.000135 | off=0.019807
[train] method=delta ep= 450/1000 | lr=3.00e-04 | loss=0.005017 | on=0.000017 | off=0.016667
[train] method=delta ep= 500/1000 | lr=3.00e-04 | loss=0.005605 | on=0.000055 | off=0.018501
[train] method=delta ep= 550/1000 | lr=3.00e-04 | loss=0.005217 | on=0.000263 | off=0.016511
[train] method=delta ep= 600/1000 | lr=3.00e-04 | loss=0.006356 | on=0.000264 | off=0.020305
[train] method=delta ep= 650/1000 | lr=3.00e-04 | loss=0.006227 | on=0.000253 | off=0.019914
[train] method=delta ep= 700/1000 | lr=3.00e-04 | loss=0.006215 | on=0.000383 | off=0.019437
[train] method=delta ep= 750/1000 | lr=3.00e-04 | loss=0.005794 | on=0.000089 | off=0.019017
[train] method=delta ep= 800/1000 | lr=3.00e-04 | loss=0.005715 | on=0.000023 | off=0.018973
[train] method=delta ep= 850/1000 | lr=3.00e-04 | loss=0.003940 | on=0.000122 | off=0.012728
[train] method=delta ep= 900/1000 | lr=3.00e-04 | loss=0.004088 | on=0.000108 | off=0.013268
[train] method=delta ep= 950/1000 | lr=3.00e-04 | loss=0.006688 | on=0.000062 | off=0.022088
[train] method=delta ep=1000/1000 | lr=3.00e-04 | loss=0.003345 | on=0.000050 | off=0.010985
[eval] 3d_spatial_arm_circle_n3 | proj_dist=0.324745 | pred_recall=0.090909 | pred_FPrate=0.013219 | chamfer=0.341910 | gt->learned=0.016980 | learned->gt=0.324930 | space=workspace
[done] method=delta dataset=3d_spatial_arm_circle_n3 seed=173 proj_dist=0.324745 recall=0.090909 FPrate=0.013219
[run] method=delta dataset=3d_spiral seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.035081 | on=0.005656 | off=0.098084
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.017987 | on=0.002815 | off=0.050572
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.009224 | on=0.000225 | off=0.029998
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.008193 | on=0.000296 | off=0.026323
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.009167 | on=0.000140 | off=0.030090
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.006730 | on=0.000049 | off=0.022272
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.009293 | on=0.000192 | off=0.030336
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.009864 | on=0.000060 | off=0.032681
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.004722 | on=0.000097 | off=0.015419
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.006468 | on=0.000097 | off=0.021237
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.005790 | on=0.000100 | off=0.018967
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.005927 | on=0.000164 | off=0.019211
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.005490 | on=0.000109 | off=0.017937
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.012046 | on=0.000094 | off=0.039839
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.007285 | on=0.000142 | off=0.023809
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.007212 | on=0.000053 | off=0.023861
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.005613 | on=0.000355 | off=0.017527
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.005890 | on=0.000080 | off=0.019367
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.007812 | on=0.000235 | off=0.025257
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.007627 | on=0.000097 | off=0.025100
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.008441 | on=0.000108 | off=0.027777
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.007421 | on=0.000141 | off=0.024267
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.005758 | on=0.000124 | off=0.018782
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.008698 | on=0.000034 | off=0.028878
