method,n_cases,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
delta,6,0.2380544369419416,0.025957837079962093,0.025957837079962093,,,0.10373196316262086,0.2795254662632942,0.134322473158439,0.35191936790943146,1024.0,4096.0,0.024960781837966763,0.0002259304968295813,0.4484049479166667,0.6990966796875,0.09239178026715915,49.0609130859375,0.13503015413880348,0.0006709132928032583,7.275155671171281
ecomann,6,0.6666677892208099,0.4588198165098826,0.4588198165098826,,,0.30604634682337445,0.6141115725040436,0.3606214423974355,0.7998968263467153,1024.0,4096.0,0.6060318446508804,0.04938990684847037,0.0377197265625,0.8492838541666666,0.3398386711875598,3.1459554036458335,0.4249981790781021,0.006348999411178132,10.834077557830218
eikonal,6,0.18583702544371286,0.011607426684349775,0.011607426684349775,,,0.06676728588839372,0.14866928880413374,0.11906973645091057,0.3099171817302704,1024.0,4096.0,0.010693415803721913,2.7458273355781177e-05,0.5074869791666666,0.7826334635416666,0.07537128031253815,19.000040690104168,0.08142482365171115,0.0007745286566205323,16.153597721502592
vae,6,0.5443629225095113,0.19681544105211893,0.19681544105211893,0.4016282955805461,0.183008074760437,0.2139526605606079,0.5521501104036967,0.33041026691595715,1.0556517541408539,1024.0,4096.0,0.14422023223110592,0.009951847760627667,0.15291341145833334,0.4535725911458333,0.3042362406849861,1.0,0.6084899107615153,0.22871507704257965,4.033895241501644
