method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
eikonal,3d_spatial_arm_ellip_n3_traj,0,0.044742271304130554,0.037831902503967285,0.037831902503967285,0.013000952079892159,0.036505602300167084,0.031741317361593246,0.08879406750202179,8128.0,4096.0,0.0017127477367262051,0.0002291814162163064,0.834716796875,0.764763779527559,0.031741317361593246,19.0009765625,0.3071689009666443,0.03049341030418873,9.186000869987765
eikonal,3d_spatial_arm_ellip_n3_traj,1,0.04376564919948578,0.04382669925689697,0.04382669925689697,0.010123574174940586,0.022966019809246063,0.03364207595586777,0.0866977795958519,8128.0,4096.0,0.002937576499388005,0.00031768158078193665,0.833984375,0.8422736220472441,0.03364207595586777,19.000732421875,0.3063963055610657,0.032358478754758835,8.439483510999708
eikonal,3d_spatial_arm_ellip_n3_traj,2,0.040175363421440125,0.03196387737989426,0.03196387737989426,0.01054583303630352,0.029945533722639084,0.029629528522491455,0.10072923451662064,8128.0,4096.0,0.0012239902080783353,0.00019914629228878766,0.85009765625,0.8001968503937008,0.029629528522491455,19.00048828125,0.29935288429260254,0.030444975942373276,7.8970265529933386
eikonal,3d_spatial_arm_ellip_n3_traj,3,0.04618692025542259,0.03910452499985695,0.03910452499985695,0.011434872634708881,0.02486603707075119,0.034752048552036285,0.11314582824707031,8128.0,4096.0,0.002446183953033268,0.00026534893549978733,0.81005859375,0.7581200787401575,0.034752048552036285,19.005126953125,0.300733745098114,0.03110308200120926,7.808830557012698
eikonal,3d_spatial_arm_ellip_n3_traj,4,0.04395199567079544,0.031017055734992027,0.031017055734992027,0.010288981720805168,0.021772850304841995,0.03366301208734512,0.08327094465494156,8128.0,4096.0,0.0009794319294809011,0.00020687187497969717,0.80810546875,0.7161663385826772,0.03366301208734512,19.00048828125,0.3007146418094635,0.03405080735683441,7.571147466020193
eikonal,3d_spatial_arm_ellip_n3_traj,5,0.04182187467813492,0.031426139175891876,0.031426139175891876,0.010135957039892673,0.024732759222388268,0.03168591856956482,0.1203332245349884,8128.0,4096.0,0.0007342143906020558,0.00023001876252237707,0.88037109375,0.7417568897637795,0.03168591856956482,19.0048828125,0.3030501902103424,0.03307671844959259,7.704209082992747
eikonal,3d_spatial_arm_ellip_n3_traj,6,0.051504649221897125,0.04661954566836357,0.04661954566836357,0.0145103819668293,0.03299759700894356,0.036994267255067825,0.10622333735227585,8128.0,4096.0,0.00440852314474651,0.00030540829175151885,0.693603515625,0.7424950787401575,0.036994267255067825,19.0,0.30211973190307617,0.030916133895516396,7.6450273059890606
ecomann,3d_spatial_arm_ellip_n3_traj,0,0.35076993703842163,0.28235945105552673,0.28235945105552673,0.10053401440382004,0.1584913581609726,0.250235915184021,0.7625636458396912,8128.0,4096.0,0.1309028627355028,0.017653685063123703,0.004638671875,0.8533464566929134,0.250235915184021,87.985595703125,0.7058224678039551,0.1560543328523636,32.64809852000326
ecomann,3d_spatial_arm_ellip_n3_traj,1,1.2691456079483032,0.29102063179016113,0.29102063179016113,0.7877494096755981,1.3325605392456055,0.4813961982727051,0.7140883803367615,8128.0,4096.0,0.12729498164014688,0.03399139642715454,0.0,0.8639271653543307,0.4813961982727051,149.95263671875,1.7178096771240234,0.35276925563812256,33.272943657008
ecomann,3d_spatial_arm_ellip_n3_traj,2,0.745822548866272,0.382100909948349,0.382100909948349,0.20437166094779968,0.3350183367729187,0.5414509177207947,1.018329381942749,8128.0,4096.0,0.18237454100367198,0.057729724794626236,0.0,0.8718011811023622,0.5414509773254395,7.174072265625,1.0624333620071411,0.4415549039840698,32.077768304036
