[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.147347 | on=0.014239 | off=0.013311
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.115706 | on=0.016668 | off=0.009904
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.138161 | on=0.014012 | off=0.012415
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.135780 | on=0.014253 | off=0.012153
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.133072 | on=0.015092 | off=0.011798
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.096919 | on=0.016838 | off=0.008008
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.129870 | on=0.014079 | off=0.011579
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.111353 | on=0.012831 | off=0.009852
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.093775 | on=0.012839 | off=0.008094
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.110112 | on=0.013511 | off=0.009660
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.097239 | on=0.012459 | off=0.008478
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.083590 | on=0.010189 | off=0.007340
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.104849 | on=0.009505 | off=0.009534
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.095343 | on=0.011922 | off=0.008342
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.084788 | on=0.012772 | off=0.007202
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.094498 | on=0.012314 | off=0.008218
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.078130 | on=0.011207 | off=0.006692
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.084769 | on=0.011473 | off=0.007330
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.081472 | on=0.013004 | off=0.006847
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.109753 | on=0.011572 | off=0.009818
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.077172 | on=0.011717 | off=0.006546
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.081218 | on=0.011597 | off=0.006962
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.094316 | on=0.013460 | off=0.008086
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.095027 | on=0.012292 | off=0.008274
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.077672 | on=0.011388 | off=0.006628
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.085235 | on=0.009629 | off=0.007561
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.082152 | on=0.009757 | off=0.007240
[eval] 2d_figure_eight | proj_dist=0.136757 | pred_recall=0.864686 | pred_FPrate=0.571843 | chamfer=0.179435 | gt->learned=0.042293 | learned->gt=0.137142 | space=data_space
/home/baiyu/PycharmProjects/equality_manofld/methods/baseline_udf/plots.py:482: UserWarning: No artists with labels found to put in legend.  Note that artists whose label start with an underscore are ignored when legend() is called with no argument.
  plt.legend()
[done] method=delta dataset=2d_figure_eight seed=173 proj_dist=0.136757 recall=0.864686 FPrate=0.571843
[run] method=delta dataset=2d_looped_spiro seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.144048 | on=0.007764 | off=0.013628
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.138788 | on=0.019077 | off=0.011971
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.140111 | on=0.017231 | off=0.012288
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.112484 | on=0.016547 | off=0.009594
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.117510 | on=0.018916 | off=0.009859
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.129104 | on=0.018359 | off=0.011074
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.153686 | on=0.017221 | off=0.013647
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.138578 | on=0.017714 | off=0.012086
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.136614 | on=0.018316 | off=0.011830
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.143074 | on=0.017358 | off=0.012572
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.134361 | on=0.017482 | off=0.011688
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.117555 | on=0.017332 | off=0.010022
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.167371 | on=0.018719 | off=0.014865
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.134843 | on=0.018774 | off=0.011607
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.148896 | on=0.017600 | off=0.013130
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.149533 | on=0.018621 | off=0.013091
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.167611 | on=0.018771 | off=0.014884
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.121612 | on=0.017257 | off=0.010435
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.134396 | on=0.016563 | off=0.011783
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.119391 | on=0.017465 | off=0.010193
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.168657 | on=0.017398 | off=0.015126
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.144557 | on=0.014195 | off=0.013036
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.160361 | on=0.016904 | off=0.014346
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.141343 | on=0.018057 | off=0.012329
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.096055 | on=0.016975 | off=0.007908
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.108668 | on=0.015846 | off=0.009282
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.117517 | on=0.013864 | off=0.010365
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.115579 | on=0.015637 | off=0.009994
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.117471 | on=0.016110 | off=0.010136
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.114212 | on=0.017848 | off=0.009636
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.119980 | on=0.014811 | off=0.010517
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.120984 | on=0.017433 | off=0.010355
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.096032 | on=0.017700 | off=0.007833
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.112467 | on=0.014401 | off=0.009807
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.112926 | on=0.015757 | off=0.009717
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.105470 | on=0.014899 | off=0.009057
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.126440 | on=0.015795 | off=0.011064
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.125512 | on=0.015726 | off=0.010979
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.115214 | on=0.016468 | off=0.009875
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.120611 | on=0.013854 | off=0.010676
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.119377 | on=0.015619 | off=0.010376
[eval] 2d_looped_spiro | proj_dist=0.167104 | pred_recall=0.894904 | pred_FPrate=0.388419 | chamfer=0.202239 | gt->learned=0.034797 | learned->gt=0.167442 | space=data_space
[done] method=delta dataset=2d_looped_spiro seed=173 proj_dist=0.167104 recall=0.894904 FPrate=0.388419
[run] method=delta dataset=2d_planar_arm_line_n2 seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.184026 | on=0.011567 | off=0.017246
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.156884 | on=0.019724 | off=0.013716
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.163516 | on=0.022004 | off=0.014151
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.222889 | on=0.018484 | off=0.020441
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.167599 | on=0.021624 | off=0.014598
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.199490 | on=0.026016 | off=0.017347
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.213536 | on=0.022862 | off=0.019067
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.181673 | on=0.022153 | off=0.015952
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.160005 | on=0.024547 | off=0.013546
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.204873 | on=0.022566 | off=0.018231
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.179641 | on=0.022462 | off=0.015718
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.176198 | on=0.021041 | off=0.015516
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.186124 | on=0.021717 | off=0.016441
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.169643 | on=0.022496 | off=0.014715
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.172605 | on=0.021835 | off=0.015077
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.187305 | on=0.020370 | off=0.016693
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.158940 | on=0.020983 | off=0.013796
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.173249 | on=0.023192 | off=0.015006
