method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
ecomann,3d_spatial_arm_circle_n3,173,0.9261617064476013,32.47377395629883,32.47377395629883,0.1209450289607048,0.2132195234298706,0.8052166700363159,1.1121621131896973,1024.0,4096.0,0.189718482252142,135.36935424804688,0.0,0.919189453125,0.8051905632019043,12.11328125,1.09873366355896,7.946578025817871,112.23610367100082
ecomann,3d_spatial_arm_circle_n3,271,0.37367650866508484,12.038484573364258,12.038484573364258,0.05369732528924942,0.061492323875427246,0.319979190826416,0.48301827907562256,1024.0,4096.0,0.03915810083210964,46.853843688964844,0.0,0.8720703125,0.3198587894439697,7.62744140625,0.38463443517684937,1.280471682548523,109.5178961519996
ecomann,3d_spatial_arm_circle_n3,509,0.6751400232315063,10.739855766296387,10.739855766296387,0.17596614360809326,0.264543741941452,0.4991739094257355,1.1816325187683105,1024.0,4096.0,0.08932941752325012,43.97498321533203,0.0,0.917724609375,0.4991382360458374,67.0205078125,1.6130890846252441,25.515764236450195,109.95049586900132
ecomann,3d_spatial_arm_circle_n3,877,1.1431578397750854,8.12218189239502,8.12218189239502,0.20289558172225952,0.3083520531654358,0.9402622580528259,1.4619821310043335,1024.0,4096.0,0.042094958394517865,20.597036361694336,0.0,0.90234375,0.940245509147644,103.57275390625,1.8488306999206543,81.98155975341797,110.11188969199975
ecomann,3d_spatial_arm_circle_n3,1123,0.654491126537323,13.792121887207031,13.792121887207031,0.026187311857938766,0.03855540230870247,0.6283038258552551,1.4656786918640137,1024.0,4096.0,0.06093979441997063,31.458696365356445,0.076171875,0.900390625,0.6282191276550293,81.125244140625,1.1271297931671143,36.846351623535156,109.34713341099996
ecomann,3d_torus_surface_traj,173,1.046897530555725,0.2874545454978943,0.2874545454978943,0.4781261682510376,1.0172454118728638,0.5687713623046875,1.3349723815917969,1024.0,4096.0,0.6541889483065954,0.023535270243883133,0.02392578125,0.790283203125,0.5518488883972168,3.26904296875,0.7981053590774536,0.06445875763893127,6.98816291500043
ecomann,3d_torus_surface_traj,271,0.7470932006835938,0.3550507724285126,0.3550507724285126,0.3352590501308441,0.6079319715499878,0.411834180355072,0.8014515042304993,1024.0,4096.0,0.6649720386375191,0.02941134385764599,0.0205078125,0.806396484375,0.393046498298645,3.105712890625,0.4771895110607147,0.009086012840270996,9.384441326999877
ecomann,3d_torus_surface_traj,509,0.9176558256149292,0.4098004698753357,0.4098004698753357,0.3921148180961609,0.7950042486190796,0.5255410075187683,1.4984245300292969,1024.0,4096.0,0.6877067956222958,0.03366580978035927,0.0546875,0.81982421875,0.505955696105957,3.2080078125,0.6600319147109985,0.014045001938939095,9.503683209000883
ecomann,3d_torus_surface_traj,877,1.0264620780944824,0.8924823999404907,0.8924823999404907,0.4246462881565094,0.815607488155365,0.6018158197402954,1.4301326274871826,1024.0,4096.0,0.8423204702274469,0.1836635023355484,0.011962890625,0.949462890625,0.5867508053779602,3.0400390625,0.6994742155075073,0.00815039686858654,10.206871455999135
ecomann,3d_torus_surface_traj,1123,0.6901746988296509,0.21138207614421844,0.21138207614421844,0.26676714420318604,0.6141956448554993,0.42340758442878723,1.455470323562622,1024.0,4096.0,0.5499616662407361,0.010693869553506374,0.03125,0.806396484375,0.40110453963279724,3.076171875,0.49166059494018555,0.01805083081126213,10.818122988999676
