method,n_cases,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual
delta,5,0.6740538716316223,0.07642980366945266,0.07642980366945266,,,0.39401293992996217,0.7190992355346679,0.2800409197807312,0.43724042773246763,1024.0,4096.0,0.012646484375,0.0011014006100594997,0.000244140625,0.00732421875,0.20092690885066986,35.927783203125,1.1843409061431884,0.3715990841388702
eikonal,5,0.6223777532577515,0.10064237713813781,0.10064237713813781,,,0.3302971005439758,0.5627085328102112,0.2920806586742401,0.46221362948417666,1024.0,4096.0,0.00771484375,0.003262145025655627,0.000146484375,0.0015625,0.2114831805229187,29.464306640625,1.1750061988830567,0.31840246319770815
vae,5,0.6625267386436462,0.24399371445178986,0.24399371445178986,0.5695217370986938,0.23283830881118775,0.3557665467262268,0.6675098299980163,0.30676017999649047,0.4763512134552002,1024.0,4096.0,0.011865234375,0.016022099927067757,4.8828125e-05,0.000537109375,0.22698739171028137,1.0,1.2295987129211425,0.6225246548652649
